surveyID,DO,PD,C,I,DOC,DOI,POC,POI,resp_accuracy,mean_prop,missing_entries,bad_subj
dua9l90b20201126,0.7777777777777778,0.5,0.8888888888888888,0.4,1,0.6,0.8,0.2,0.95,0.631578947368421,1,FALSE
e8v50m3620201123,0.8,0.6666666666666666,0.8,0.6666666666666666,1,0.6,0.6,0.75,1,0.7368421052631579,1,FALSE
epegm9yj20201204,0.8,0.8,1,0.6,1,0.6,1,0.6,0.95,0.8,0,FALSE
ervf6ysh20201119,0.9,0.5,0.8,0.6,1,0.8,0.6,0.4,1,0.7,0,FALSE
etva11td20201113,1,0.4,0.7,0.7,1,1,0.4,0.4,0.95,0.7,0,FALSE
eychrpxv20201114,1,0.9,0.9,1,1,1,0.8,1,1,0.95,0,FALSE
f10pqxun20200128,0.8,0.3,0.6,0.5,0.8,0.8,0.4,0.2,1,0.55,0,FALSE
f5y8cohy20201116,0.2857142857142857,0,0,0.25,0,0.6666666666666666,0,0,0.95,0.11764705882352941,3,FALSE
f94kjs2s20201109,0.6,0.75,0.8,0.5,0.6666666666666666,0.5,1,0.5,0.9,0.6666666666666666,11,TRUE
fhtjasuy20200309,1,0.7,0.7,1,1,1,0.4,1,0.9,0.85,0,FALSE
fngtfgsg20200131,1,0.7,1,0.7,1,1,1,0.4,1,0.85,0,FALSE
fpbpaetl20201119,1,0.8,0.9,0.8888888888888888,1,1,0.8,0.8,0.95,0.8947368421052632,1,FALSE
frcsr9et20201201,0.8,0.4,0.7,0.5,1,0.6,0.4,0.4,1,0.6,0,FALSE
fyfm98tb20200210,0.5,0.6,0.4,0.7,0.2,0.8,0.6,0.6,0.95,0.55,0,FALSE
g1eg0dp720201115,0.8,0.8,0.9,0.7,1,0.6,0.8,0.8,0.9,0.8,0,FALSE
g3raaqac20201201,0.6666666666666666,0.7,0.6,0.7777777777777778,0.4,1,0.8,0.6,1,0.6842105263157895,1,FALSE
gksx3mam20201104,0.3333333333333333,0.2,0.4,0.1111111111111111,0.6,0,0.2,0.2,0.9,0.2631578947368421,1,FALSE
hgg52m4220200227,0.7,0,0.4,0.3,0.8,0.6,0,0,1,0.35,0,FALSE
hk0kmysv20201102,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,20,TRUE
jcgu7ukk20201207,0.7777777777777778,0.7,0.8,0.6666666666666666,0.8,0.75,0.8,0.6,0.95,0.7368421052631579,1,FALSE
jh3ododj20201104,1,0.8,0.9,0.9,1,1,0.8,0.8,1,0.9,0,FALSE
jhs83ny320200302,0.7,0.8,0.8,0.7,0.8,0.6,0.8,0.8,1,0.75,0,FALSE
jsandtsm20201116,0.9,0.7,0.9,0.7,1,0.8,0.8,0.6,0.9,0.8,0,FALSE
jszq12ry20200302,0.8888888888888888,0.5,0.7,0.6666666666666666,1,0.75,0.4,0.6,0.95,0.6842105263157895,1,FALSE
jtgsfocm20201110,0.6666666666666666,0.4,0.5555555555555556,0.5,0.75,0.6,0.4,0.4,0.95,0.5263157894736842,1,FALSE
jw9595dy20201103,0.4444444444444444,0.1,0.1111111111111111,0.4,0.25,0.6,0,0.2,0.9,0.2631578947368421,1,FALSE
k1nlvgjw20201120,0.9,0.7,0.9,0.7,1,0.8,0.8,0.6,0.95,0.8,0,FALSE
k5us58ta20201118,1,1,1,1,1,1,1,1,0.95,1,7,TRUE
ka19xw0720201118,0.5555555555555556,0.3,0.3,0.5555555555555556,0.6,0.5,0,0.6,0.95,0.42105263157894735,1,FALSE
khmdqt1d20201120,1,0.8,1,0.8,1,1,1,0.6,1,0.9,0,FALSE
khmqwngv20201125,0.9,0.8,0.8,0.9,0.8,1,0.8,0.8,0.95,0.85,0,FALSE
kkdkln3w20201121,0.3,0.2,0,0.5,0,0.6,0,0.4,0.95,0.25,0,FALSE
l6mx3upp20201111,0,0,0,0,0,0,0,0,0.9,0,6,TRUE
lavpu7s720201109,0.875,0.9,0.875,0.9,0.6666666666666666,1,1,0.8,1,0.8888888888888888,2,FALSE
llfb9sc220201102,1,1,1,1,1,1,1,1,1,1,0,FALSE
m5upgrz820200113,0.6,0.4,0.6,0.4,0.8,0.4,0.4,0.4,1,0.5,0,FALSE
m77dce3920200208,0.6,0.8,0.7,0.7,0.6,0.6,0.8,0.8,1,0.7,0,FALSE
mjkg31a820201102,0.75,0.6,0.6,0.75,0.6,1,0.6,0.6,0.95,0.6666666666666666,2,FALSE
mlw4ef5020200128,1,0.75,0.8571428571428571,0.875,1,1,0.75,0.75,0.8,0.8666666666666667,5,TRUE
