surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries
jszq12ry20200302,1,0.75,0.4,0.6,TRUE,0.9473684210526315,0.6842105263157895,1
jtgsfocm20201110,0.75,0.6,0.4,0.4,FALSE,0.9473684210526315,0.5263157894736842,1
jw9595dy20201103,0.25,0.6,0,0.2,FALSE,0.8947368421052632,0.2631578947368421,1
k1nlvgjw20201120,1,0.8,0.8,0.6,FALSE,0.95,0.8,0
k5us58ta20201118,1,1,1,1,FALSE,1,1,7
ka19xw0720201118,0.6,0.5,0,0.6,FALSE,0.9473684210526315,0.42105263157894735,1
khmdqt1d20201120,1,1,1,0.6,FALSE,1,0.9,0
khmqwngv20201125,0.8,1,0.8,0.8,FALSE,0.95,0.85,0
kkdkln3w20201121,0,0.6,0,0.4,FALSE,0.95,0.25,0
l6mx3upp20201111,0,0,0,0,FALSE,0.8571428571428571,0,6
lavpu7s720201109,0.6666666666666666,1,1,0.8,FALSE,1,0.8888888888888888,2
llfb9sc220201102,1,1,1,1,FALSE,1,1,0
m5upgrz820200113,0.8,0.4,0.4,0.4,TRUE,1,0.5,0
m77dce3920200208,0.6,0.6,0.8,0.8,TRUE,1,0.7,0
mjkg31a820201102,0.6,1,0.6,0.6,FALSE,0.9444444444444444,0.6666666666666666,2
mlw4ef5020200128,1,1,0.75,0.75,TRUE,0.7333333333333333,0.8666666666666667,5
mzbmhmq820201113,1,1,1,1,FALSE,1,1,2
n10np7qf20200307,0.8,1,0.8,1,TRUE,0.95,0.9,0
nll42gx020201125,0.6,1,0.8,0.2,FALSE,0.95,0.65,0
nmflx2le20200308,0.8,1,1,1,TRUE,1,0.95,0
nn8l7htm20200208,0.8,1,1,1,TRUE,0.95,0.95,0
nv62373d20200306,0.8,0.6,0.4,0.6,TRUE,1,0.6,0
o42peyga20200227,0.6666666666666666,0.75,0.75,1,TRUE,0.9333333333333333,0.8,5
o5v23rrz20200304,0.4,0.4,0.4,0.2,TRUE,1,0.35,0
o6eldlqz20200129,0.8,0.5,1,0.75,TRUE,1,0.7647058823529411,3
ob5p7xxa20201119,0.8,1,1,0.8,FALSE,0.9,0.9,0
ok6o9kx720200209,1,1,0.6,0.5,TRUE,0.9444444444444444,0.7777777777777778,2
p2achudm20201123,1,1,1,1,FALSE,1,1,0
p93k4k4v20201204,0.4,0.4,0.6,0.2,FALSE,1,0.4,0
pglz36nx20200127,1,1,1,0.8,TRUE,1,0.95,0
pl59ybvr20201103,1,0.8,0.8,0.8,FALSE,0.95,0.85,0
plcd2fbz20200301,0.25,0.5,0.3333333333333333,0.5,TRUE,1,0.38461538461538464,7
pmqrpsua20200130,1,0.6,0.8,0.4,TRUE,0.85,0.7,0
pyb36j9a20200211,0.75,1,1,0.8,TRUE,0.9473684210526315,0.8947368421052632,1
