,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,ans,bll,ga,lf,mAC,mAI,mPC,mPI,mas,mid,min_rmse
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.15100110374872538
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,1.0,0.9,0.5,0.9,0.578,0.708,0.38,0.384,2.8,1176.0,0.2951601203866584
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09659537601079395
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0.75,0.7,0.5,0.7,0.652,0.6659999999999999,0.342,0.322,2.8,876.0,0.11985961232486389
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,0.1,0.9,1.5,1.0,1.0,1.0,0.013999999999999999,0.0,3.2,235.0,0.21353296388770204
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1.5,0.3,0.5,0.5,0.5820000000000001,0.594,0.426,0.39399999999999996,2.8,1248.0,0.020782123728499614
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,1.5,0.5,2.0,0.9,0.564,0.778,0.48,0.21600000000000003,3.6,1331.0,0.1135938231888806
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.16555017366345467
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.11678552992558623
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09319831901202225
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,0.5,0.1,0.5,1.0,0.722,0.8420000000000001,0.23,0.19,3.2,517.0,0.12246070117933072
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,1.5,0.7,0.5,0.5,0.546,0.616,0.39799999999999996,0.402,3.2,1345.0,0.12389870862926698
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.11339626684037413
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.034904106730679514
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.034904106730679514
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.034904106730679514
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,1.5,0.7,0.5,0.7,0.578,0.63,0.384,0.39399999999999996,3.2,1357.0,0.2262576554874258
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,0.75,0.1,0.5,0.5,0.648,0.742,0.306,0.278,2.8,720.0,0.014494481708567597
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,1.5,0.9,0.5,0.5,0.556,0.594,0.428,0.406,2.8,1392.0,0.09319831901202225
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,1.5,0.7,0.5,0.7,0.604,0.634,0.426,0.32,3.6,1358.0,0.03915988593786588
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,1.5,0.7,0.5,0.5,0.516,0.604,0.436,0.33799999999999997,2.8,1344.0,0.2802711663133878
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,1.5,0.1,0.5,0.7,0.5660000000000001,0.638,0.43,0.41600000000000004,2.8,1212.0,0.03286178124610208
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,1.5,0.9,0.5,0.7,0.584,0.562,0.43200000000000005,0.392,2.8,1404.0,0.16044549437945171
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,1.5,0.3,0.5,0.5,0.5820000000000001,0.594,0.426,0.39399999999999996,2.8,1248.0,0.020782123728499614
