,ans,bll,lf,mas,ga,rmse,DOC,DOI,POC,POI
55,0.1,0.3,0.5,3.2,1.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
56,0.1,0.3,0.5,3.6,1.5,0.9309157987459034,0.9899999999999999,1.0,0.006000000000000001,0.0
57,0.1,0.3,0.5,2.8,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
58,0.1,0.3,0.5,3.2,2.0,0.9254695489927403,0.996,1.0,0.02,0.0
59,0.1,0.3,0.5,3.6,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
60,0.1,0.3,0.7,2.8,0.5,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
61,0.1,0.3,0.7,3.2,0.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
62,0.1,0.3,0.7,3.6,0.5,0.9286526180083399,0.9899999999999999,1.0,0.01,0.0
63,0.1,0.3,0.7,2.8,1.0,0.9344484222212837,0.996,1.0,0.004,0.0
64,0.1,0.3,0.7,3.2,1.0,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
65,0.1,0.3,0.7,3.6,1.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
66,0.1,0.3,0.7,2.8,1.5,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
67,0.1,0.3,0.7,3.2,1.5,0.9331963624645021,0.99,1.0,0.002,0.0
68,0.1,0.3,0.7,3.6,1.5,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
69,0.1,0.3,0.7,2.8,2.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
70,0.1,0.3,0.7,3.2,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
71,0.1,0.3,0.7,3.6,2.0,0.9307323904899917,0.998,1.0,0.012,0.0
72,0.1,0.3,0.9,2.8,0.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
73,0.1,0.3,0.9,3.2,0.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
74,0.1,0.3,0.9,3.6,0.5,0.9349314186102833,1.0,1.0,0.006000000000000001,0.0
75,0.1,0.3,0.9,2.8,1.0,0.9286526180083399,0.99,1.0,0.01,0.0
76,0.1,0.3,0.9,3.2,1.0,0.9326698598461178,1.0,1.0,0.01,0.0
77,0.1,0.3,0.9,3.6,1.0,0.9355903678842525,0.996,1.0,0.002,0.0
78,0.1,0.3,0.9,2.8,1.5,0.9328472797786997,0.992,1.0,0.004,0.0
79,0.1,0.3,0.9,3.2,1.5,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
80,0.1,0.3,0.9,3.6,1.5,0.9309157987459034,0.9899999999999999,1.0,0.006000000000000001,0.0
81,0.1,0.3,0.9,2.8,2.0,0.9302450907712483,0.9939999999999999,1.0,0.01,0.0
82,0.1,0.3,0.9,3.2,2.0,0.9372102744903046,1.0,1.0,0.002,0.0
83,0.1,0.3,0.9,3.6,2.0,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
84,0.1,0.3,1.0,2.8,0.5,0.9336454533198099,0.9939999999999999,1.0,0.004,0.0
85,0.1,0.3,1.0,3.2,0.5,0.9347875719310585,0.9939999999999999,1.0,0.002,0.0
86,0.1,0.3,1.0,3.6,0.5,0.9321774999017848,0.996,1.0,0.008,0.0
87,0.1,0.3,1.0,2.8,1.0,0.933989565611408,0.992,1.0,0.002,0.0
88,0.1,0.3,1.0,3.2,1.0,0.9294464412793979,0.9919999999999999,1.0,0.01,0.0
89,0.1,0.3,1.0,3.6,1.0,0.9299239681505853,0.996,1.0,0.012,0.0
90,0.1,0.3,1.0,2.8,1.5,0.9278636346161655,0.988,1.0,0.01,0.0
91,0.1,0.3,1.0,3.2,1.5,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
92,0.1,0.3,1.0,3.6,1.5,0.9321774999017848,0.996,1.0,0.008,0.0
93,0.1,0.3,1.0,2.8,2.0,0.9325076570456132,0.9939999999999999,1.0,0.006000000000000001,0.0
94,0.1,0.3,1.0,3.2,2.0,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
95,0.1,0.3,1.0,3.6,2.0,0.9359339980581721,0.9939999999999999,1.0,0.0,0.0
96,0.1,0.5,0.5,2.8,0.5,0.9339895656114079,0.9919999999999999,1.0,0.002,0.0
97,0.1,0.5,0.5,3.2,0.5,0.9336454533198099,0.9940000000000001,1.0,0.004,0.0
98,0.1,0.5,0.5,3.6,0.5,0.9337984697259392,1.0,1.0,0.008,0.0
99,0.1,0.5,0.5,2.8,1.0,0.9294464412793979,0.9919999999999999,1.0,0.01,0.0
100,0.1,0.5,0.5,3.2,1.0,0.9302450907712483,0.9939999999999999,1.0,0.01,0.0
101,0.1,0.5,0.5,3.6,1.0,0.9297820280688758,0.9899999999999999,1.0,0.008,0.0
102,0.1,0.5,0.5,2.8,1.5,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
103,0.1,0.5,0.5,3.2,1.5,0.9283215509150804,0.992,1.0,0.012,0.0
104,0.1,0.5,0.5,3.6,1.5,0.9352561729025655,0.998,1.0,0.004,0.0
105,0.1,0.5,0.5,2.8,2.0,0.9317093205492548,0.9919999999999999,1.0,0.006000000000000001,0.0
106,0.1,0.5,0.5,3.2,2.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
107,0.1,0.5,0.5,3.6,2.0,0.933310794631203,0.996,1.0,0.006000000000000001,0.0
108,0.1,0.5,0.7,2.8,0.5,0.9329855950531163,0.998,1.0,0.008,0.0
109,0.1,0.5,0.7,3.2,0.5,0.9305757027691565,0.992,1.0,0.008,0.0
110,0.1,0.5,0.7,3.6,0.5,0.9263002420467583,0.9839999999999998,1.0,0.01,0.0
111,0.1,0.5,0.7,2.8,1.0,0.9331963624645021,0.99,1.0,0.002,0.0
112,0.1,0.5,0.7,3.2,1.0,0.9313741979254392,0.9939999999999999,1.0,0.008,0.0
113,0.1,0.5,0.7,3.6,1.0,0.9309157987459034,0.99,1.0,0.006000000000000001,0.0
114,0.1,0.5,0.7,2.8,1.5,0.9324079760198514,0.988,1.0,0.002,0.0
115,0.1,0.5,0.7,3.2,1.5,0.9352561729025655,0.998,1.0,0.004,0.0
116,0.1,0.5,0.7,3.6,1.5,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
117,0.1,0.5,0.7,2.8,2.0,0.9344484222212837,0.996,1.0,0.004,0.0
118,0.1,0.5,0.7,3.2,2.0,0.9328472797786997,0.992,1.0,0.004,0.0
119,0.1,0.5,0.7,3.6,2.0,0.9313741979254393,0.9940000000000001,1.0,0.008,0.0
