,subjID,DOC,DOI,POC,POI,mid,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,rmse
61,eychrpxv20201114,1.0,1.0,0.8,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
62,f10pqxun20200128,0.8,0.8,0.4,0.2,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
63,f5y8cohy20201116,0.0,0.667,0.0,0.0,66.0,0.5,0.7,0.3,0.6520000000000004,0.7260000000000001,0.318,0.284,0.4043733970295761
64,f94kjs2s20201109,0.667,0.5,1.0,0.5,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.32861970452558503
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
68,frcsr9et20201201,1.0,0.6,0.4,0.4,61.0,0.5,0.5,0.3,0.7339999999999999,0.6759999999999999,0.29400000000000004,0.2799999999999999,0.4350488364198148
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
71,g3raaqac20201201,0.4,1.0,0.8,0.6,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
72,gksx3mam20201104,0.6,0.0,0.2,0.2,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
73,hgg52m4220200227,0.8,0.6,0.0,0.0,36.0,0.25,0.5,0.3,0.8839999999999997,0.8399999999999997,0.12599999999999995,0.13599999999999998,0.6857999071169714
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
75,jh3ododj20201104,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
76,jhs83ny320200302,0.8,0.6,0.8,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
77,jsandtsm20201116,1.0,0.8,0.8,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
78,jszq12ry20200302,1.0,0.75,0.4,0.6,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.32861970452558503
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,118.0,1.0,0.7,0.7,0.6580000000000001,0.6239999999999997,0.4000000000000001,0.358,0.34144644347528474
80,jw9595dy20201103,0.25,0.6,0.0,0.2,106.0,1.0,0.3,0.3,0.5839999999999999,0.6319999999999999,0.34800000000000003,0.376,0.3085369419404642
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
82,k5us58ta20201118,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
83,ka19xw0720201118,0.6,0.5,0.0,0.6,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.3033745175386365
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,132.0,1.5,0.3,0.5,0.604,0.6080000000000001,0.4480000000000001,0.3920000000000001,0.3264254199126501
85,khmqwngv20201125,0.8,1.0,0.8,0.8,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,142.0,1.5,0.7,0.5,0.552,0.5760000000000002,0.396,0.448,0.3111240834113087
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
88,lavpu7s720201109,0.667,1.0,1.0,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
89,llfb9sc220201102,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
90,m5upgrz820200113,0.8,0.4,0.4,0.4,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
91,m77dce3920200208,0.6,0.6,0.8,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
92,mjkg31a820201102,0.6,1.0,0.6,0.6,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
95,n10np7qf20200307,0.8,1.0,0.8,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
96,nll42gx020201125,0.6,1.0,0.8,0.2,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
97,nmflx2le20200308,0.8,1.0,1.0,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
99,nv62373d20200306,0.8,0.6,0.4,0.6,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.3033745175386365
100,o42peyga20200227,0.667,0.75,0.75,1.0,125.0,1.5,0.1,0.1,0.5620000000000003,0.5819999999999999,0.428,0.4539999999999999,0.3092628766116053
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,121.0,1.0,0.9,0.3,0.5740000000000003,0.5620000000000002,0.43999999999999984,0.3879999999999999,0.3559845990823704
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,73.0,0.5,0.9,0.7,0.7479999999999998,0.7299999999999999,0.326,0.2800000000000001,0.4232763092782773
105,p2achudm20201123,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,137.0,1.5,0.5,0.5,0.56,0.5720000000000001,0.4579999999999999,0.41,0.3464931648764401
107,pglz36nx20200127,1.0,1.0,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,140.0,1.5,0.7,0.1,0.5980000000000002,0.5580000000000002,0.452,0.428,0.3403037306630544
109,plcd2fbz20200301,0.25,0.5,0.33299999999999996,0.5,142.0,1.5,0.7,0.5,0.552,0.5760000000000002,0.396,0.448,0.3111240834113087
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,146.0,1.5,0.9,0.3,0.6259999999999999,0.5599999999999999,0.414,0.3880000000000001,0.3541500556317963
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
113,qokbfd8720201125,0.6,0.6,0.4,0.6,142.0,1.5,0.7,0.5,0.552,0.5760000000000002,0.396,0.448,0.3111240834113087
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
115,r9lo90ts20200130,0.667,1.0,0.6,1.0,135.0,1.5,0.5,0.1,0.5900000000000002,0.6240000000000001,0.4419999999999999,0.4560000000000001,0.2753796192490291
116,s1somgf720200211,0.4,0.4,0.2,0.0,108.0,1.0,0.3,0.7,0.6060000000000001,0.5820000000000001,0.386,0.322,0.3792892988058478
117,s55aohfe20200128,0.33299999999999996,0.4,0.0,0.4,147.0,1.5,0.9,0.5,0.5539999999999999,0.5479999999999999,0.3839999999999999,0.432,0.3341425346061381
118,svolj44520201207,1.0,1.0,0.6,1.0,120.0,1.0,0.9,0.1,0.598,0.59,0.3620000000000001,0.4239999999999999,0.3033745175386365
119,sw68ajzc20200213,1.0,1.0,0.2,0.4,48.0,0.25,0.9,0.7,0.8499999999999999,0.8699999999999997,0.12400000000000005,0.15399999999999994,0.667642878619376
120,t7dcx8xl20201203,1.0,0.75,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
121,t9cdwyon20200113,1.0,1.0,0.8,0.6,124.0,1.0,0.9,0.9,0.648,0.638,0.4119999999999999,0.3579999999999999,0.3344515386400645
122,tkmy795t20200211,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
123,ucnl2x7f20200212,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
124,utt2nnyo20200113,0.6,0.8,0.4,0.4,99.0,0.75,0.9,0.9,0.6360000000000001,0.6879999999999998,0.3520000000000001,0.3260000000000001,0.3545865906682235
125,uy7f303a20201124,1.0,0.8,0.4,0.2,73.0,0.5,0.9,0.7,0.7479999999999998,0.7299999999999999,0.326,0.2800000000000001,0.4232763092782773
126,vbv8ea3920201207,1.0,1.0,0.8,0.8,141.0,1.5,0.7,0.3,0.6279999999999999,0.644,0.4340000000000002,0.406,0.29176015794300797
127,vd9r5nk020201111,1.0,0.33299999999999996,0.75,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,40.0,0.25,0.7,0.1,0.8539999999999996,0.8919999999999995,0.14799999999999994,0.122,0.6843259207821397
129,vomf13pu20200214,0.0,0.25,0.667,0.5,145.0,1.5,0.9,0.1,0.5459999999999998,0.5720000000000001,0.4619999999999999,0.4320000000000001,0.3416755616806365
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,86.0,0.75,0.5,0.3,0.6940000000000002,0.6619999999999999,0.3420000000000001,0.386,0.32861970452558503
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,142.0,1.5,0.7,0.5,0.552,0.5760000000000002,0.396,0.448,0.3111240834113087
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
134,y5qncmp920200228,0.6,1.0,0.6,0.2,71.0,0.5,0.9,0.3,0.6940000000000004,0.7200000000000002,0.338,0.25199999999999995,0.43296364423866507
135,y8u8ss9t20201107,0.75,0.667,0.667,1.0,143.0,1.5,0.7,0.7,0.564,0.546,0.4400000000000002,0.4520000000000001,0.3413389143860343
136,ygepr20b20201121,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,67.0,0.5,0.7,0.5,0.7040000000000001,0.7260000000000002,0.2699999999999999,0.30400000000000005,0.4152251375632019
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
140,zes08nnl20201116,0.75,0.5,1.0,0.8,139.0,1.5,0.5,0.9,0.586,0.5740000000000001,0.4760000000000001,0.4400000000000001,0.3318393156590891
