DOC, DOI, POC, POI
ans: None; bll: None; lf: 1.0; egs: 0; ppm: None
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
1.0, 0.76, 0.16, 0.0
