,subjID,DOC,DOI,POC,POI,mid,alpha,egs,mDOC,mDOI,mPOC,mPOI,r1,r2,rmse
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,113.0,0.1,0.9,0.464,0.46799999999999997,0.43799999999999983,0.4619999999999999,0.0,0.0,0.4337067054562348
33,90za526r20200217,1.0,1.0,0.4,0.6,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
34,97b1s46u20201106,1.0,0.8,0.8,1.0,843.0,0.9,0.9,0.624,0.4199999999999999,0.4219999999999999,0.6280000000000001,0.5,-0.5,0.4879161558152907
35,9psntbym20201207,0.8,0.6,0.0,0.4,677.0,0.7,0.9,0.9239999999999996,0.5299999999999998,0.05600000000000002,0.4920000000000001,5.0,0.0,0.7205906193856464
36,9q080hvl20201204,1.0,1.0,0.6,0.6,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
38,ackgo30v20200227,0.8,1.0,1.0,1.0,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
39,aherzvzb20201106,0.4,0.4,0.2,0.4,135.0,0.1,0.9,0.5539999999999999,0.4860000000000001,0.3780000000000001,0.482,5.0,-0.5,0.3950184136053468
40,ak018tef20201118,0.8,1.0,0.8,1.0,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,531.0,0.5,1.3,0.8299999999999998,0.4679999999999999,0.248,0.5739999999999998,5.0,-0.5,0.5742787858717426
42,awveeytc20201103,1.0,1.0,1.0,0.8,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
44,bdhboees20201112,1.0,1.0,1.0,0.8,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,113.0,0.1,0.9,0.464,0.46799999999999997,0.43799999999999983,0.4619999999999999,0.0,0.0,0.4337067054562348
46,blhofw6920201105,1.0,1.0,0.4,0.6,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
47,bnlv90xh20201104,1.0,0.6,0.8,0.8,662.0,0.7,0.9,0.6059999999999999,0.3520000000000001,0.466,0.6380000000000001,0.5,-1.0,0.5521670209924573
48,bs5meo4o20200214,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
49,bsd3r0g520200208,1.0,0.8,0.4,0.6,532.0,0.5,1.3,0.802,0.5020000000000001,0.2,0.488,5.0,-0.1,0.5556734070470033
50,byybve5p20200301,0.75,0.75,0.8,0.4,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
51,cm9hz4em20200226,0.0,0.25,0.5,0.25,401.0,0.5,0.1,0.41200000000000003,0.424,0.634,0.5559999999999999,0.0,0.0,0.558907334231324
52,ct0z9wus20201202,0.0,0.0,,0.0,401.0,0.5,0.1,0.41200000000000003,0.424,0.634,0.5559999999999999,0.0,0.0,0.558907334231324
53,d2xtpd3v20200213,1.0,1.0,0.4,0.6,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
54,dhnyqv2x20201111,0.6,0.5,0.4,0.0,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
55,dkhfaswf20200127,0.6,0.667,0.6,0.2,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
56,dua9l90b20201126,1.0,0.6,0.8,0.2,311.0,0.3,0.9,0.5980000000000001,0.458,0.4540000000000002,0.4800000000000001,1.0,0.0,0.4219941288737528
57,e8v50m3620201123,1.0,0.6,0.6,0.75,175.0,0.1,1.3,0.6780000000000002,0.4139999999999999,0.3760000000000001,0.5600000000000002,10.0,-5.0,0.4973131854323349
58,epegm9yj20201204,1.0,0.6,1.0,0.6,262.0,0.3,0.5,0.5399999999999999,0.4760000000000002,0.5479999999999999,0.5259999999999998,0.1,-0.1,0.4291374471407887
59,ervf6ysh20201119,1.0,0.8,0.6,0.4,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
60,etva11td20201113,1.0,1.0,0.4,0.4,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
61,eychrpxv20201114,1.0,1.0,0.8,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
62,f10pqxun20200128,0.8,0.8,0.4,0.2,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
63,f5y8cohy20201116,0.0,0.667,0.0,0.0,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
64,f94kjs2s20201109,0.667,0.5,1.0,0.5,401.0,0.5,0.1,0.41200000000000003,0.424,0.634,0.5559999999999999,0.0,0.0,0.558907334231324
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,530.0,0.5,1.3,0.76,0.454,0.21799999999999994,0.612,5.0,-1.0,0.5870261789973252
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,111.0,0.1,0.9,0.5459999999999998,0.4940000000000001,0.492,0.474,0.0,-0.5,0.399999193568698
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
68,frcsr9et20201201,1.0,0.6,0.4,0.4,532.0,0.5,1.3,0.802,0.5020000000000001,0.2,0.488,5.0,-0.1,0.5556734070470033
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,662.0,0.7,0.9,0.6059999999999999,0.3520000000000001,0.466,0.6380000000000001,0.5,-1.0,0.5521670209924573
71,g3raaqac20201201,0.4,1.0,0.8,0.6,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
72,gksx3mam20201104,0.6,0.0,0.2,0.2,57.0,0.1,0.1,0.6599999999999998,0.3400000000000001,0.3619999999999999,0.5880000000000002,1.0,-0.5,0.5790886438359638
73,hgg52m4220200227,0.8,0.6,0.0,0.0,532.0,0.5,1.3,0.802,0.5020000000000001,0.2,0.488,5.0,-0.1,0.5556734070470033
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,262.0,0.3,0.5,0.5399999999999999,0.4760000000000002,0.5479999999999999,0.5259999999999998,0.1,-0.1,0.4291374471407887
75,jh3ododj20201104,1.0,1.0,0.8,0.8,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
76,jhs83ny320200302,0.8,0.6,0.8,0.8,506.0,0.5,1.3,0.5280000000000001,0.4120000000000001,0.5319999999999999,0.5760000000000001,0.0,-1.0,0.4877811056303485
77,jsandtsm20201116,1.0,0.8,0.8,0.6,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
78,jszq12ry20200302,1.0,0.75,0.4,0.6,532.0,0.5,1.3,0.802,0.5020000000000001,0.2,0.488,5.0,-0.1,0.5556734070470033
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,142.0,0.1,0.9,0.6580000000000003,0.4900000000000001,0.3440000000000001,0.4640000000000001,10.0,-0.1,0.4175774834883513
80,jw9595dy20201103,0.25,0.6,0.0,0.2,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
82,k5us58ta20201118,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
83,ka19xw0720201118,0.6,0.5,0.0,0.6,530.0,0.5,1.3,0.76,0.454,0.21799999999999994,0.612,5.0,-1.0,0.5870261789973252
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
85,khmqwngv20201125,0.8,1.0,0.8,0.8,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,113.0,0.1,0.9,0.464,0.46799999999999997,0.43799999999999983,0.4619999999999999,0.0,0.0,0.4337067054562348
88,lavpu7s720201109,0.667,1.0,1.0,0.8,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
89,llfb9sc220201102,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
90,m5upgrz820200113,0.8,0.4,0.4,0.4,634.0,0.7,0.5,0.7220000000000002,0.466,0.31399999999999995,0.5159999999999999,1.0,-0.1,0.4798736277417584
91,m77dce3920200208,0.6,0.6,0.8,0.8,581.0,0.7,0.1,0.4260000000000001,0.38,0.634,0.6099999999999999,0.0,0.0,0.5865097552868868
92,mjkg31a820201102,0.6,1.0,0.6,0.6,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
93,mlw4ef5020200128,1.0,1.0,0.75,0.75,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
94,mzbmhmq820201113,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
95,n10np7qf20200307,0.8,1.0,0.8,1.0,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
96,nll42gx020201125,0.6,1.0,0.8,0.2,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
97,nmflx2le20200308,0.8,1.0,1.0,1.0,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
98,nn8l7htm20200208,0.8,1.0,1.0,1.0,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
99,nv62373d20200306,0.8,0.6,0.4,0.6,101.0,0.1,0.5,0.6780000000000003,0.5100000000000001,0.3399999999999999,0.514,5.0,0.0,0.4109812296362304
100,o42peyga20200227,0.667,0.75,0.75,1.0,470.0,0.5,0.9,0.47200000000000003,0.4300000000000001,0.5579999999999999,0.6300000000000001,0.0,-1.0,0.5061841063259902
101,o5v23rrz20200304,0.4,0.4,0.4,0.2,485.0,0.5,0.9,0.5080000000000001,0.5039999999999999,0.488,0.456,0.5,0.0,0.4053871584097461
102,o6eldlqz20200129,0.8,0.5,1.0,0.75,581.0,0.7,0.1,0.4260000000000001,0.38,0.634,0.6099999999999999,0.0,0.0,0.5865097552868868
103,ob5p7xxa20201119,0.8,1.0,1.0,0.8,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
104,ok6o9kx720200209,1.0,1.0,0.6,0.5,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
105,p2achudm20201123,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
106,p93k4k4v20201204,0.4,0.4,0.6,0.2,616.0,0.7,0.5,0.4620000000000001,0.442,0.546,0.4759999999999999,0.0,-0.1,0.4894560819985129
107,pglz36nx20200127,1.0,1.0,1.0,0.8,694.0,0.7,1.3,0.504,0.4919999999999999,0.54,0.5000000000000001,0.1,-0.1,0.4284646830099411
108,pl59ybvr20201103,1.0,0.8,0.8,0.8,311.0,0.3,0.9,0.5980000000000001,0.458,0.4540000000000002,0.4800000000000001,1.0,0.0,0.4219941288737528
109,plcd2fbz20200301,0.25,0.5,0.33299999999999996,0.5,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
110,pmqrpsua20200130,1.0,0.6,0.8,0.4,311.0,0.3,0.9,0.5980000000000001,0.458,0.4540000000000002,0.4800000000000001,1.0,0.0,0.4219941288737528
111,pyb36j9a20200211,0.75,1.0,1.0,0.8,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
112,q1pba6fp20201106,0.6,0.5,0.5,0.5,95.0,0.1,0.5,0.5660000000000001,0.464,0.47200000000000003,0.478,1.0,0.0,0.4189062620961821
113,qokbfd8720201125,0.6,0.6,0.4,0.6,179.0,0.1,1.3,0.6140000000000001,0.5359999999999999,0.3800000000000001,0.5059999999999999,10.0,0.0,0.35434478776360473
114,qv3wta5b20201118,1.0,1.0,1.0,1.0,868.0,0.9,1.3,0.5120000000000001,0.518,0.514,0.5320000000000003,0.0,-0.1,0.3945320884413488
115,r9lo90ts20200130,0.667,1.0,0.6,1.0,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
