,ans,bll,lf,rmse,DOC,DOI,POC,POI
0,0.1,0.1,0.1,0.9264749165146949,0.9939999999999999,0.9939999999999999,0.006000000000000001,0.006000000000000001
1,0.1,0.1,0.3,0.9282940179949586,0.9919999999999999,0.998,0.006000000000000001,0.004
2,0.1,0.1,0.5,0.9276243220245974,0.9939999999999999,0.9939999999999999,0.004,0.006000000000000001
3,0.1,0.1,0.7,0.9264319663189926,0.9859999999999998,0.996,0.004,0.004
4,0.1,0.1,0.9,0.9246646300670556,0.9939999999999999,0.9879999999999999,0.006000000000000001,0.006000000000000001
5,0.1,0.3,0.1,0.9261474704623975,0.9919999999999999,1.0,0.006000000000000001,0.008
6,0.1,0.3,0.3,0.931149792444344,0.996,0.9899999999999999,0.002,0.002
7,0.1,0.3,0.5,0.9212626197641328,0.9899999999999999,0.9919999999999999,0.004,0.012
8,0.1,0.3,0.7,0.9305243059468479,0.996,1.0,0.006000000000000001,0.004
9,0.1,0.3,0.9,0.9210536689187433,0.998,0.9919999999999999,0.01,0.012
10,0.1,0.5,0.1,0.9138953496682607,0.986,0.9919999999999999,0.013999999999999999,0.012
11,0.1,0.5,0.3,0.9241178697020862,0.9939999999999999,0.9899999999999999,0.008,0.006000000000000001
12,0.1,0.5,0.5,0.9288254500815412,0.996,0.996,0.002,0.008
13,0.1,0.5,0.7,0.9258064156399527,0.986,0.9939999999999999,0.004,0.004
14,0.1,0.5,0.9,0.9246966628538709,0.9919999999999999,0.9899999999999999,0.008,0.004
15,0.1,0.7,0.1,0.9259142299341112,0.9919999999999999,0.9939999999999999,0.008,0.004
16,0.1,0.7,0.3,0.931942971407435,0.996,0.9879999999999999,0.002,0.0
17,0.1,0.7,0.5,0.9306392932765559,0.998,0.9939999999999999,0.004,0.004
18,0.1,0.7,0.7,0.9241898020504693,0.9939999999999999,1.0,0.006000000000000001,0.012
19,0.1,0.7,0.9,0.9259502550220456,0.998,0.996,0.006000000000000001,0.01
20,0.1,0.9,0.1,0.9355000718790711,0.996,0.996,0.0,0.0
21,0.1,0.9,0.3,0.9302019998600191,0.996,0.996,0.002,0.006000000000000001
22,0.1,0.9,0.5,0.926905199857357,0.9919999999999999,0.998,0.006000000000000001,0.006000000000000001
23,0.1,0.9,0.7,0.9225576212999086,0.9879999999999999,0.9919999999999999,0.01,0.004
24,0.1,0.9,0.9,0.9215934638692547,0.9939999999999999,0.992,0.016,0.004
25,0.25,0.1,0.1,0.6644613736896231,0.8579999999999997,0.8619999999999999,0.14599999999999994,0.142
26,0.25,0.1,0.3,0.7009722922553749,0.8639999999999998,0.8659999999999997,0.122,0.11399999999999996
27,0.25,0.1,0.5,0.7005475186157131,0.8819999999999995,0.8759999999999997,0.128,0.12199999999999997
28,0.25,0.1,0.7,0.6907187503358032,0.8639999999999997,0.8499999999999994,0.11400000000000002,0.13
29,0.25,0.1,0.9,0.6900954145312933,0.8539999999999995,0.8859999999999997,0.134,0.12200000000000001
30,0.25,0.3,0.1,0.6680775924542262,0.8499999999999995,0.8479999999999996,0.15399999999999994,0.12400000000000003
31,0.25,0.3,0.3,0.7080050804645558,0.8799999999999997,0.8699999999999996,0.12399999999999997,0.11199999999999997
32,0.25,0.3,0.5,0.6585492485085799,0.8659999999999997,0.8599999999999995,0.14799999999999996,0.1519999999999999
33,0.25,0.3,0.7,0.6933444783327047,0.8879999999999995,0.8439999999999995,0.132,0.12399999999999999
34,0.25,0.3,0.9,0.6706980161203855,0.8779999999999996,0.8599999999999995,0.14999999999999994,0.13999999999999996
35,0.25,0.5,0.1,0.700053750459936,0.8619999999999997,0.8779999999999996,0.11199999999999997,0.12599999999999997
36,0.25,0.5,0.3,0.6857999071169714,0.8839999999999997,0.8399999999999997,0.12599999999999997,0.13599999999999998
37,0.25,0.5,0.5,0.6728684699863551,0.856,0.8699999999999996,0.13799999999999998,0.13799999999999998
38,0.25,0.5,0.7,0.6782484389566239,0.858,0.8799999999999997,0.12399999999999997,0.146
39,0.25,0.5,0.9,0.6832122715558129,0.8579999999999999,0.8579999999999997,0.11399999999999999,0.14
40,0.25,0.7,0.1,0.6843259207821397,0.8539999999999996,0.8919999999999995,0.14799999999999996,0.12200000000000001
41,0.25,0.7,0.3,0.6780256869456913,0.8799999999999994,0.8879999999999998,0.13599999999999998,0.14999999999999997
42,0.25,0.7,0.5,0.6692193197554028,0.8739999999999997,0.848,0.13799999999999998,0.146
43,0.25,0.7,0.7,0.6893860403213424,0.8759999999999997,0.8719999999999994,0.15199999999999997,0.11599999999999998
44,0.25,0.7,0.9,0.6915595556236969,0.866,0.8659999999999997,0.12199999999999997,0.128
45,0.25,0.9,0.1,0.7044578692729312,0.8699999999999996,0.8799999999999997,0.12,0.118
46,0.25,0.9,0.3,0.6796739305654138,0.8719999999999994,0.8679999999999995,0.12999999999999998,0.142
47,0.25,0.9,0.5,0.6727832790633814,0.8699999999999997,0.8499999999999995,0.148,0.13199999999999995
48,0.25,0.9,0.7,0.667642878619376,0.8499999999999999,0.8699999999999997,0.12400000000000003,0.15399999999999997
49,0.25,0.9,0.9,0.6940261590233736,0.8699999999999997,0.8879999999999997,0.146,0.11600000000000003
50,0.5,0.1,0.1,0.44311834809136474,0.7260000000000001,0.7160000000000001,0.288,0.26400000000000007
51,0.5,0.1,0.3,0.4052028069428936,0.7020000000000002,0.7140000000000002,0.2740000000000001,0.314
52,0.5,0.1,0.5,0.4181869100210752,0.7200000000000002,0.7060000000000001,0.26999999999999996,0.30599999999999994
53,0.5,0.1,0.7,0.44882573860026087,0.7199999999999999,0.682,0.2820000000000001,0.26
54,0.5,0.1,0.9,0.4444645013169865,0.7239999999999999,0.726,0.30200000000000005,0.25600000000000006
55,0.5,0.3,0.1,0.45053600123949167,0.7479999999999998,0.7440000000000001,0.2720000000000001,0.272
56,0.5,0.3,0.3,0.42229021833352365,0.6940000000000001,0.6919999999999998,0.27199999999999996,0.2880000000000001
57,0.5,0.3,0.5,0.45285348709526574,0.7,0.7240000000000001,0.2960000000000001,0.24199999999999997
58,0.5,0.3,0.7,0.44135269074553557,0.7220000000000002,0.7300000000000003,0.242,0.2960000000000001
59,0.5,0.3,0.9,0.42472078300807004,0.722,0.7020000000000002,0.262,0.304
60,0.5,0.5,0.1,0.43616326845492626,0.7160000000000004,0.7140000000000002,0.262,0.284
61,0.5,0.5,0.3,0.4350488364198148,0.7339999999999999,0.676,0.29400000000000004,0.2799999999999999
62,0.5,0.5,0.5,0.41900639555429064,0.716,0.74,0.288,0.29200000000000004
63,0.5,0.5,0.7,0.4288428393887511,0.6679999999999999,0.7020000000000001,0.25799999999999995,0.28
64,0.5,0.5,0.9,0.42662396335361064,0.7260000000000002,0.7139999999999997,0.302,0.27799999999999997
65,0.5,0.7,0.1,0.45174904432012286,0.7219999999999999,0.6820000000000002,0.27599999999999997,0.25999999999999995
66,0.5,0.7,0.3,0.4043733970295761,0.6520000000000004,0.7260000000000001,0.318,0.284
67,0.5,0.7,0.5,0.4152251375632019,0.704,0.7260000000000002,0.2699999999999999,0.30400000000000005
68,0.5,0.7,0.7,0.3967261185465014,0.73,0.728,0.29799999999999993,0.32000000000000006
69,0.5,0.7,0.9,0.44137801473214044,0.7380000000000001,0.7539999999999999,0.28400000000000003,0.2740000000000001
70,0.5,0.9,0.1,0.402802858910172,0.716,0.6999999999999998,0.32800000000000007,0.294
71,0.5,0.9,0.3,0.43296364423866507,0.6940000000000004,0.7200000000000002,0.33799999999999997,0.25199999999999995
72,0.5,0.9,0.5,0.4440518177789295,0.7100000000000002,0.6719999999999999,0.27199999999999996,0.268
