,alpha,egs,r1,r2,rmse,DOC,DOI,POC,POI
0,0.1,0.01,0.0,-10.0,1.119826034911263,0.3,0.0,0.6899999999999998,1.0
1,0.1,0.01,0.0,-5.0,1.1006980564848619,0.36,0.0,0.6679999999999999,1.0
2,0.1,0.01,0.0,-1.0,1.1092192172985607,0.32000000000000006,0.0,0.65,1.0
3,0.1,0.01,0.0,-0.5,1.0759235350133831,0.39000000000000007,0.012,0.674,0.986
4,0.1,0.01,0.0,-0.1,0.8417836041539667,0.2859999999999999,0.21599999999999991,0.6560000000000001,0.7979999999999998
5,0.1,0.01,0.0,0.0,0.7027417607837252,0.35800000000000004,0.30000000000000004,0.6580000000000001,0.68
6,0.1,0.01,0.1,-10.0,1.089015981340312,0.46199999999999997,0.0,0.45799999999999996,1.0
7,0.1,0.01,0.1,-5.0,1.081795455722001,0.4700000000000001,0.0,0.5079999999999998,1.0
8,0.1,0.01,0.1,-1.0,1.0794279973749004,0.52,0.0,0.5020000000000001,1.0
9,0.1,0.01,0.1,-0.5,1.059313375449766,0.5160000000000001,0.01,0.51,0.9839999999999998
10,0.1,0.01,0.1,-0.1,0.7672786684513435,0.49200000000000005,0.21999999999999997,0.5000000000000001,0.8200000000000002
11,0.1,0.01,0.1,0.0,0.5628604403372449,0.5099999999999999,0.35400000000000004,0.44799999999999984,0.6480000000000001
12,0.1,0.01,0.5,-10.0,1.3429221402721612,0.9359999999999995,0.0,0.04000000000000001,1.0
13,0.1,0.01,0.5,-5.0,1.3389367384275928,0.9319999999999995,0.0,0.044000000000000004,1.0
14,0.1,0.01,0.5,-1.0,1.3409704939938358,0.9619999999999997,0.0,0.06200000000000002,1.0
15,0.1,0.01,0.5,-0.5,1.328167174519553,0.9519999999999996,0.002,0.06200000000000001,0.988
16,0.1,0.01,0.5,-0.1,1.0448525812963196,0.9499999999999997,0.21400000000000002,0.05800000000000002,0.7859999999999999
17,0.1,0.01,0.5,0.0,0.9335052052941276,0.9519999999999997,0.306,0.046000000000000006,0.6639999999999998
18,0.1,0.01,1.0,-10.0,1.3937400738174723,0.998,0.0,0.0,1.0
19,0.1,0.01,1.0,-5.0,1.3934185637069973,1.0,0.0,0.002,1.0
20,0.1,0.01,1.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
21,0.1,0.01,1.0,-0.5,1.38127843425456,1.0,0.004,0.0,0.9819999999999999
22,0.1,0.01,1.0,-0.1,1.1168605519081678,1.0,0.21200000000000002,0.002,0.7999999999999996
23,0.1,0.01,1.0,0.0,0.9711317898878191,0.998,0.33799999999999997,0.0,0.6679999999999999
24,0.1,0.01,5.0,-10.0,1.394646564919659,1.0,0.0,0.0,1.0
25,0.1,0.01,5.0,-5.0,1.394646564919659,1.0,0.0,0.0,1.0
26,0.1,0.01,5.0,-1.0,1.394646564919659,1.0,0.0,0.0,1.0
27,0.1,0.01,5.0,-0.5,1.3643110703215937,1.0,0.02,0.0,0.9759999999999998
