,subjID,AC,AI,PC,PI,mid,alpha,egs,mAC,mAI,mPC,mPI,r1,r2,rmse
47,64,0.583,0.833,0.16699999999999998,0.667,99.0,0.1,0.5,0.638,0.5119999999999999,0.3220000000000001,0.5159999999999999,5.0,-0.5,0.40867049737474
48,66,1.0,1.0,0.9,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
49,67,1.0,1.0,0.5,0.667,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
50,68,1.0,0.667,0.0,0.0,677.0,0.7,0.9,0.9239999999999996,0.5299999999999998,0.05600000000000002,0.4920000000000001,5.0,0.0,0.7205906193856464
51,69,1.0,1.0,0.833,0.833,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
52,70,0.667,0.833,0.75,0.33299999999999996,83.0,0.1,0.5,0.442,0.5500000000000002,0.492,0.478,0.1,0.0,0.4151522600100488
53,73,1.0,0.833,1.0,1.0,157.0,0.1,1.3,0.5419999999999999,0.4180000000000002,0.5220000000000001,0.544,0.5,-5.0,0.4745004949132835
54,74,1.0,1.0,0.833,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
55,75,1.0,1.0,0.917,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
56,76,0.75,0.833,0.16699999999999998,0.33299999999999996,358.0,0.3,1.3,0.8199999999999996,0.5219999999999999,0.14999999999999994,0.5,10.0,-0.1,0.5910580804329157
57,77,0.917,1.0,0.833,1.0,76.0,0.1,0.5,0.47,0.508,0.4440000000000001,0.5559999999999999,0.0,-0.1,0.4180157999630959
58,78,0.917,1.0,0.909,1.0,81.0,0.1,0.5,0.4579999999999999,0.54,0.5040000000000001,0.5319999999999999,0.1,-0.5,0.40999692802017457
59,79,0.833,0.833,0.75,0.667,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
60,81,1.0,1.0,0.917,0.833,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
61,82,1.0,1.0,0.917,0.833,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
62,83,0.667,0.5,0.16699999999999998,0.5,317.0,0.3,0.9,0.7539999999999998,0.496,0.25,0.504,5.0,0.0,0.5038647027815599
63,84,0.75,0.833,0.41700000000000004,0.4,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
64,86,1.0,1.0,0.917,1.0,484.0,0.5,0.9,0.5579999999999999,0.526,0.4520000000000001,0.5499999999999999,0.5,-0.1,0.3646768350526202
65,87,1.0,1.0,0.833,0.667,172.0,0.1,1.3,0.5980000000000001,0.514,0.46799999999999997,0.494,5.0,-0.1,0.3667591903906524
66,88,0.5,0.833,1.0,0.8,401.0,0.5,0.1,0.41200000000000003,0.424,0.634,0.5559999999999999,0.0,0.0,0.558907334231324
67,89,0.917,1.0,0.833,0.833,341.0,0.3,1.3,0.496,0.53,0.492,0.4900000000000001,0.5,0.0,0.3889648729763783
68,90,1.0,0.833,0.917,1.0,127.0,0.1,0.9,0.5820000000000002,0.4039999999999999,0.4860000000000002,0.5860000000000002,1.0,-5.0,0.4849624974212438
69,91,1.0,1.0,0.833,0.833,177.0,0.1,1.3,0.6420000000000001,0.546,0.40800000000000014,0.5,10.0,-0.5,0.3405376139828147
