DOC, DOI, POC, POI
ans: None; bll: None; lf: 1.0; egs: 1.5; ppm: 1
0.56, 0.36, 0.4, 0.32
0.4, 0.36, 0.28, 0.48
0.6, 0.4, 0.32, 0.28
0.24, 0.32, 0.44, 0.32
0.48, 0.4, 0.16, 0.4
0.36, 0.48, 0.36, 0.28
0.32, 0.48, 0.24, 0.32
0.32, 0.32, 0.4, 0.32
0.32, 0.24, 0.28, 0.32
0.52, 0.36, 0.32, 0.4
0.36, 0.28, 0.48, 0.44
0.44, 0.4, 0.36, 0.4
0.44, 0.32, 0.28, 0.36
0.28, 0.28, 0.28, 0.44
0.48, 0.4, 0.44, 0.52
0.52, 0.24, 0.44, 0.24
0.36, 0.36, 0.44, 0.36
0.48, 0.28, 0.32, 0.4
0.4, 0.32, 0.4, 0.4
0.4, 0.28, 0.28, 0.24
0.64, 0.36, 0.32, 0.36
0.48, 0.32, 0.28, 0.32
0.68, 0.36, 0.24, 0.28
0.36, 0.32, 0.44, 0.32
0.52, 0.36, 0.52, 0.24
0.4, 0.4, 0.28, 0.32
0.44, 0.36, 0.44, 0.4
0.4, 0.48, 0.28, 0.44
0.44, 0.28, 0.24, 0.36
0.4, 0.48, 0.4, 0.4
0.48, 0.36, 0.36, 0.36
0.4, 0.4, 0.36, 0.28
0.48, 0.36, 0.36, 0.36
0.44, 0.36, 0.4, 0.44
0.4, 0.4, 0.44, 0.48
0.64, 0.36, 0.36, 0.52
0.56, 0.52, 0.36, 0.36
0.28, 0.44, 0.48, 0.44
0.44, 0.28, 0.4, 0.36
0.36, 0.24, 0.28, 0.32
0.52, 0.4, 0.48, 0.48
0.36, 0.32, 0.4, 0.36
0.44, 0.52, 0.32, 0.24
0.32, 0.4, 0.48, 0.4
0.52, 0.36, 0.28, 0.36
0.36, 0.36, 0.2, 0.32
0.44, 0.4, 0.32, 0.28
0.36, 0.4, 0.2, 0.44
0.28, 0.28, 0.36, 0.28
0.4, 0.32, 0.36, 0.2
0.4, 0.28, 0.24, 0.36
0.48, 0.32, 0.24, 0.36
0.4, 0.36, 0.4, 0.28
0.4, 0.32, 0.32, 0.36
0.4, 0.4, 0.28, 0.32
0.36, 0.28, 0.4, 0.28
0.48, 0.4, 0.36, 0.32
0.32, 0.24, 0.32, 0.36
0.28, 0.36, 0.28, 0.44
0.32, 0.28, 0.32, 0.52
0.44, 0.32, 0.36, 0.32
0.4, 0.4, 0.2, 0.48
0.44, 0.28, 0.4, 0.32
0.4, 0.36, 0.44, 0.32
0.56, 0.4, 0.32, 0.44
0.44, 0.36, 0.36, 0.36
0.24, 0.4, 0.36, 0.36
0.4, 0.36, 0.36, 0.48
0.44, 0.24, 0.36, 0.32
0.52, 0.4, 0.24, 0.32
0.36, 0.24, 0.36, 0.24
0.44, 0.32, 0.4, 0.32
0.52, 0.4, 0.32, 0.24
0.56, 0.44, 0.24, 0.28
0.36, 0.4, 0.2, 0.28
0.4, 0.36, 0.32, 0.36
0.4, 0.32, 0.44, 0.44
0.44, 0.28, 0.36, 0.36
0.32, 0.32, 0.44, 0.32
0.44, 0.44, 0.4, 0.32
0.44, 0.36, 0.44, 0.28
0.56, 0.36, 0.36, 0.36
0.4, 0.32, 0.28, 0.4
0.36, 0.28, 0.32, 0.32
0.52, 0.28, 0.32, 0.32
0.32, 0.36, 0.2, 0.36
0.28, 0.4, 0.36, 0.36
0.32, 0.44, 0.4, 0.44
0.68, 0.36, 0.36, 0.36
0.44, 0.36, 0.28, 0.28
0.32, 0.52, 0.36, 0.4
0.36, 0.52, 0.32, 0.28
0.4, 0.28, 0.48, 0.4
0.44, 0.36, 0.24, 0.32
0.44, 0.36, 0.2, 0.24
0.68, 0.36, 0.32, 0.28
0.28, 0.44, 0.44, 0.32
0.48, 0.28, 0.36, 0.32
0.52, 0.24, 0.4, 0.44
0.56, 0.44, 0.28, 0.48
