subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries
1,1,1,0.9090909090909091,1,0.7428571428571429,0.9714285714285714,1
3,0.8333333333333334,1,0.4166666666666667,0.5,0.75,0.6666666666666666,0
4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0
5,1,1,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0
6,1,1,0.9166666666666666,1,1,0.9722222222222222,0
7,0.9166666666666666,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0
8,0.75,0.8333333333333334,0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0
9,0.75,1,0.2727272727272727,0.5,0.9428571428571428,0.6,1
13,0.9166666666666666,1,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0
14,0.9166666666666666,1,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0
15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0
16,0.9166666666666666,1,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0
17,1,1,0.9166666666666666,1,0.9166666666666666,0.9722222222222222,0
18,0.75,1,0.16666666666666666,0.16666666666666666,0.8611111111111112,0.5,0
20,0.18181818181818182,0.8,0.1,0.16666666666666666,0.8125,0.25,4
21,0.9090909090909091,0.8333333333333334,0.9166666666666666,1,0.8857142857142857,0.9142857142857143,1
22,1,1,0.6666666666666666,1,0.9166666666666666,0.8888888888888888,0
24,0.8333333333333334,1,0.5833333333333334,0.6666666666666666,0.8888888888888888,0.75,0
25,0.8333333333333334,1,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8055555555555556,0
26,1,1,0.9166666666666666,1,0.9714285714285714,0.9714285714285714,1
27,1,1,0.9090909090909091,1,0.7428571428571429,0.9714285714285714,1
28,0.8333333333333334,0.8333333333333334,0.7272727272727273,0.6666666666666666,0.8857142857142857,0.7714285714285715,1
30,0.75,0.6666666666666666,0.4166666666666667,0.5,0.8333333333333334,0.5833333333333334,0
31,0.3333333333333333,0.75,0.8,1,0.6875,0.625,20
32,0.9166666666666666,0.8333333333333334,0.8333333333333334,1,1,0.8888888888888888,0
33,0.9166666666666666,1,1,1,0.5142857142857142,0.9714285714285714,1
35,0.9166666666666666,1,0.75,0.8333333333333334,0.8611111111111112,0.8611111111111112,0
36,1,1,0.8333333333333334,1,0.8055555555555556,0.9444444444444444,0
38,0.5,0.8333333333333334,0.08333333333333333,0.2,0.5142857142857142,0.37142857142857144,1
39,1,1,0.6666666666666666,0.8333333333333334,0.8888888888888888,0.8611111111111112,0
40,1,1,0.08333333333333333,0,0.6,0.5142857142857142,1
41,0.8333333333333334,0.6,0.5,0.6,0.7352941176470589,0.6470588235294118,2
42,0.5833333333333334,0.5,0.16666666666666666,0.5,0.5277777777777778,0.4166666666666667,0
43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1
44,0.9166666666666666,1,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0
46,1,1,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0
47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1,0.75,0
49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0
50,1,1,0.6666666666666666,1,0.75,0.8888888888888888,0
51,1,1,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1
52,0.9166666666666666,1,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0
53,0,0.3333333333333333,0,0,0.4857142857142857,0.05714285714285714,1
55,0.25,0.6666666666666666,0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0
58,1,1,0.8333333333333334,1,0.9166666666666666,0.9444444444444444,0
59,0.25,0.3333333333333333,0.08333333333333333,0,0.5833333333333334,0.16666666666666666,0
61,1,1,1,0.8333333333333334,0.8333333333333334,0.9722222222222222,0
63,1,1,0.75,1,0.5,0.9166666666666666,0
64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0
66,1,1,0.9,1,0.9411764705882353,0.9705882352941176,2
67,1,1,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0
68,1,0.6666666666666666,0,0,0.9722222222222222,0.4444444444444444,0
69,1,1,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0
70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0
73,1,0.8333333333333334,1,1,0.9444444444444444,0.9722222222222222,0
74,1,1,0.8333333333333334,1,0.8888888888888888,0.9444444444444444,0
75,1,1,0.9166666666666666,1,0.8888888888888888,0.9722222222222222,0
76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1,0.5,0
77,0.9166666666666666,1,0.8333333333333334,1,0.9166666666666666,0.9166666666666666,0
78,0.9166666666666666,1,0.9090909090909091,1,0.7714285714285715,0.9428571428571428,1
79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0
81,1,1,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0
82,1,1,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0
83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0
84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1
86,1,1,0.9166666666666666,1,1,0.9722222222222222,0
