,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,ans,bll,lf,mDOC,mDOI,mPOC,mPOI,mid,min_rmse
61,eychrpxv20201114,1.0,1.0,0.8,1.0,False,1.0,0.95,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.08989623648036293
62,f10pqxun20200128,0.8,0.8,0.4,0.2,True,1.0,0.55,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.08449063064427126
63,f5y8cohy20201116,0.0,0.6666666666666666,0.0,0.0,False,0.9411764705882352,0.1176470588235294,3,0.5,0.7,0.3,0.652,0.726,0.318,0.284,66.0,0.3442099068882242
64,f94kjs2s20201109,0.6666666666666666,0.5,1.0,0.5,False,0.8888888888888888,0.6666666666666666,11,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,139.0,0.32791044509133893
65,fhtjasuy20200309,1.0,1.0,0.4,1.0,True,0.9,0.85,0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.31586336708562246
66,fngtfgsg20200131,1.0,1.0,1.0,0.4,True,1.0,0.85,0,0.5,0.9,0.3,0.6940000000000001,0.72,0.33799999999999997,0.252,71.0,0.3040920913144569
67,fpbpaetl20201119,1.0,1.0,0.8,0.8,False,0.9473684210526316,0.8947368421052632,1,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.006218252702059212
68,frcsr9et20201201,1.0,0.6,0.4,0.4,False,1.0,0.6,0,0.5,0.5,0.3,0.7340000000000001,0.6759999999999999,0.294,0.28,61.0,0.19789222656115965
69,fyfm98tb20200210,0.2,0.8,0.6,0.6,True,0.95,0.55,0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.35370420787243495
70,g1eg0dp720201115,1.0,0.6,0.8,0.8,False,0.9,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.22293197766732945
71,g3raaqac20201201,0.4,1.0,0.8,0.6,False,1.0,0.6842105263157895,1,1.5,0.1,0.7,0.542,0.578,0.43,0.38799999999999996,128.0,0.3492186516591957
72,gksx3mam20201104,0.6,0.0,0.2,0.2,False,0.8947368421052632,0.2631578947368421,1,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.313207066757228
73,hgg52m4220200227,0.8,0.6,0.0,0.0,True,1.0,0.35,0,0.25,0.5,0.3,0.884,0.84,0.126,0.136,36.0,0.09200905752515166
74,jcgu7ukk20201207,0.8,0.75,0.8,0.6,False,0.9473684210526316,0.7368421052631579,1,1.0,0.9,0.3,0.574,0.562,0.44,0.38799999999999996,121.0,0.09931263766510283
75,jh3ododj20201104,1.0,1.0,0.8,0.8,False,1.0,0.9,0,1.0,0.5,0.7,0.584,0.5920000000000001,0.392,0.396,113.0,0.006218252702059212
76,jhs83ny320200302,0.8,0.6,0.8,0.8,True,1.0,0.75,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.16015513312618698
77,jsandtsm20201116,1.0,0.8,0.8,0.6,False,0.9,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.12688052122633586
78,jszq12ry20200302,1.0,0.75,0.4,0.6,True,0.9473684210526316,0.6842105263157895,1,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,86.0,0.15872512928539914
79,jtgsfocm20201110,0.75,0.6,0.4,0.4,False,0.9473684210526316,0.5263157894736842,1,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.06981165136756663
80,jw9595dy20201103,0.25,0.6,0.0,0.2,False,0.8947368421052632,0.2631578947368421,1,1.0,0.3,0.3,0.584,0.632,0.348,0.376,106.0,0.2057741480361418
81,k1nlvgjw20201120,1.0,0.8,0.8,0.6,False,0.95,0.8,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.12688052122633586
82,k5us58ta20201118,1.0,1.0,1.0,1.0,False,1.0,1.0,7,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
83,ka19xw0720201118,0.6,0.5,0.0,0.6,False,0.9473684210526316,0.42105263157894735,1,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,120.0,0.316390581402165
84,khmdqt1d20201120,1.0,1.0,1.0,0.6,False,1.0,0.9,0,1.5,0.9,0.7,0.578,0.58,0.424,0.36200000000000004,148.0,0.195315129982293
85,khmqwngv20201125,0.8,1.0,0.8,0.8,False,0.95,0.85,0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,135.0,0.10184301645179213
86,kkdkln3w20201121,0.0,0.6,0.0,0.4,False,0.95,0.25,0,1.5,0.7,0.5,0.552,0.5760000000000001,0.396,0.44799999999999995,142.0,0.3892916644368333
87,l6mx3upp20201111,0.0,0.0,0.0,0.0,False,0.8571428571428571,0.0,6,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
88,lavpu7s720201109,0.6666666666666666,1.0,1.0,0.8,False,1.0,0.8888888888888888,2,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,145.0,0.22749870329300778
89,llfb9sc220201102,1.0,1.0,1.0,1.0,False,1.0,1.0,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.06415865750881429
90,m5upgrz820200113,0.8,0.4,0.4,0.4,True,1.0,0.5,0,1.5,0.9,0.3,0.626,0.56,0.414,0.38799999999999996,146.0,0.19347351239898447
91,m77dce3920200208,0.6,0.6,0.8,0.8,True,1.0,0.7,0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,143.0,0.17883791544300667
