mid,ans,bll,lf,DOC,DOI,POC,POI,DOC_sd,DOI_sd,POC_sd,POI_sd
60,0.5,0.5,0.1,0.716,0.714,0.262,0.284,0.143331783,0.152328592,0.130980915,0.155383397
61,0.5,0.5,0.3,0.734,0.676,0.294,0.28,0.125872952,0.149077161,0.130245921,0.138564065
62,0.5,0.5,0.5,0.716,0.74,0.288,0.292,0.165360213,0.12,0.157022291,0.126237871
63,0.5,0.5,0.7,0.668,0.702,0.258,0.28,0.144830936,0.151644321,0.14572577,0.162480768
64,0.5,0.5,0.9,0.726,0.714,0.302,0.278,0.145340978,0.113154761,0.146273716,0.150053324
65,0.5,0.7,0.1,0.722,0.682,0.276,0.26,0.147363496,0.138115893,0.16193826,0.126491106
66,0.5,0.7,0.3,0.652,0.726,0.318,0.284,0.137462722,0.142562267,0.122784364,0.146095859
67,0.5,0.7,0.5,0.704,0.726,0.27,0.304,0.109471457,0.124595345,0.13453624,0.14416657
68,0.5,0.7,0.7,0.73,0.728,0.298,0.32,0.140356688,0.134223694,0.144899965,0.157480157
69,0.5,0.7,0.9,0.738,0.754,0.284,0.274,0.14951923,0.148606864,0.154090882,0.130858702
70,0.5,0.9,0.1,0.716,0.7,0.328,0.294,0.150146595,0.167332005,0.142884569,0.130245921
71,0.5,0.9,0.3,0.694,0.72,0.338,0.252,0.146164291,0.134164079,0.158606431,0.144554488
72,0.5,0.9,0.5,0.71,0.672,0.272,0.268,0.141774469,0.147023808,0.14427751,0.139197701
73,0.5,0.9,0.7,0.748,0.73,0.326,0.28,0.120399336,0.125299641,0.150744817,0.162480768
74,0.5,0.9,0.9,0.726,0.738,0.312,0.312,0.111013513,0.134,0.154453877,0.129058126
75,0.75,0.1,0.1,0.652,0.64,0.328,0.32,0.144554488,0.141421356,0.158795466,0.150996689
76,0.75,0.1,0.3,0.634,0.654,0.346,0.364,0.168059513,0.167582815,0.122,0.158442419
77,0.75,0.1,0.5,0.654,0.664,0.36,0.348,0.140299679,0.135292276,0.118321596,0.186804711
78,0.75,0.1,0.7,0.644,0.642,0.348,0.324,0.156409718,0.158858428,0.137462722,0.10307279
