,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,ans,bll,lf,mAC,mAI,mPC,mPI,min_rmse
33,43,0.5833333333333334,0.5,0.5833333333333334,0.6,0.8,0.5714285714285714,1,143.0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,0.20526919890797257
34,44,0.9166666666666666,1.0,0.75,0.8333333333333334,0.6388888888888888,0.8611111111111112,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.39768682124926397
35,46,1.0,1.0,0.5,0.8333333333333334,0.8333333333333334,0.8055555555555556,0,86.0,0.75,0.5,0.3,0.6940000000000001,0.662,0.342,0.386,0.4974102448063649
36,47,0.8333333333333334,0.8333333333333334,0.5833333333333334,0.8333333333333334,1.0,0.75,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.39655230129243657
37,49,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.7222222222222222,0.8055555555555556,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.3562624957440566
38,50,1.0,1.0,0.6666666666666666,1.0,0.75,0.8888888888888888,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5903924416330324
39,51,1.0,1.0,0.5454545454545454,0.5,0.8571428571428571,0.7714285714285715,1,73.0,0.5,0.9,0.7,0.748,0.73,0.326,0.28,0.26734430893822714
40,52,0.9166666666666666,1.0,0.75,0.6666666666666666,0.8611111111111112,0.8333333333333334,0,105.0,1.0,0.3,0.1,0.618,0.642,0.434,0.39399999999999996,0.3595941341512798
41,53,0.0,0.3333333333333333,0.0,0.0,0.4857142857142857,0.057142857142857134,1,106.0,1.0,0.3,0.3,0.584,0.632,0.348,0.376,0.587879500321209
42,55,0.25,0.6666666666666666,0.0,0.16666666666666666,0.9166666666666666,0.2222222222222222,0,63.0,0.5,0.5,0.7,0.6679999999999999,0.7020000000000001,0.258,0.28,0.49007759549553487
43,58,1.0,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9444444444444444,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5355638913258697
44,59,0.25,0.3333333333333333,0.08333333333333333,0.0,0.5833333333333334,0.16666666666666666,0,104.0,1.0,0.1,0.9,0.588,0.598,0.37799999999999995,0.35,0.3680773746981417
45,61,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.9722222222222222,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.5212012883452429
46,63,1.0,1.0,0.75,1.0,0.5,0.9166666666666666,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5573860945130206
47,64,0.5833333333333334,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.5,0.5,0,120.0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,0.495904871058235
48,66,1.0,1.0,0.9,1.0,0.9411764705882352,0.9705882352941176,2,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5335248703727751
49,67,1.0,1.0,0.5,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,68.0,0.5,0.7,0.7,0.73,0.728,0.298,0.32,0.36100055308930906
50,68,1.0,0.6666666666666666,0.0,0.0,0.9722222222222222,0.4444444444444444,0,33.0,0.25,0.3,0.7,0.888,0.8440000000000001,0.132,0.124,0.31447324205032734
51,69,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.41072321421571284
52,70,0.6666666666666666,0.8333333333333334,0.75,0.3333333333333333,0.5,0.6666666666666666,0,103.0,1.0,0.1,0.7,0.584,0.616,0.43,0.368,0.41763421660436856
53,73,1.0,0.8333333333333334,1.0,1.0,0.9444444444444444,0.9722222222222222,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.6045121632560233
54,74,1.0,1.0,0.8333333333333334,1.0,0.8888888888888888,0.9444444444444444,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5355638913258697
55,75,1.0,1.0,0.9166666666666666,1.0,0.8888888888888888,0.9722222222222222,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5363092007257111
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,58.0,0.5,0.3,0.7,0.722,0.73,0.242,0.29600000000000004,0.1603413021870131
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5318985948929619
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5399953072831118
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.28065586440247325
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.44708563086734926
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,139.0,1.5,0.5,0.9,0.586,0.574,0.47600000000000003,0.44,0.44708563086734926
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,120.0,1.0,0.9,0.1,0.598,0.59,0.36200000000000004,0.424,0.30276496226519123
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,66.0,0.5,0.7,0.3,0.652,0.726,0.318,0.284,0.11691634668658978
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.5363092007257111
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,124.0,1.0,0.9,0.9,0.648,0.638,0.41200000000000003,0.358,0.4287163660056814
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,145.0,1.5,0.9,0.1,0.546,0.5720000000000001,0.462,0.43200000000000005,0.6362307048304889
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.40384161789334405
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,143.0,1.5,0.7,0.7,0.564,0.546,0.44,0.452,0.5762394104832496
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,135.0,1.5,0.5,0.1,0.59,0.624,0.442,0.456,0.41072321421571284
