,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,alpha,egs,mAC,mAI,mPC,mPI,mid,min_rmse,r1,r2
56,76,0.75,0.8333333333333334,0.16666666666666666,0.3333333333333333,1.0,0.5,0,0.1,0.5,0.638,0.512,0.322,0.516,99.0,0.2538479006544404,5.0,-0.5
57,77,0.9166666666666666,1.0,0.8333333333333334,1.0,0.9166666666666666,0.9166666666666666,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.05106032380103622,0.0,-0.1
58,78,0.9166666666666666,1.0,0.9090909090909092,1.0,0.7714285714285715,0.9428571428571428,1,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.030090640848387834,0.0,-0.1
59,79,0.8333333333333334,0.8333333333333334,0.75,0.6666666666666666,0.8611111111111112,0.7777777777777778,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.060356413633239236,0.5,0.0
60,81,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9166666666666666,0.9444444444444444,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.060356413633239236,0.5,0.0
61,82,1.0,1.0,0.9166666666666666,0.8333333333333334,0.9444444444444444,0.9444444444444444,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.060356413633239236,0.5,0.0
62,83,0.6666666666666666,0.5,0.16666666666666666,0.5,0.9444444444444444,0.4444444444444444,0,0.3,0.9,0.754,0.496,0.25,0.504,317.0,0.06982879062392532,5.0,0.0
63,84,0.75,0.8333333333333334,0.4166666666666667,0.4,0.8,0.6,1,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.1854355863006523,10.0,-0.5
64,86,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,0.1,0.9,0.514,0.506,0.444,0.52,124.0,0.010082658379613979,0.5,-0.1
65,87,1.0,1.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8888888888888888,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.14698762986501052,0.5,0.0
66,88,0.5,0.8333333333333334,1.0,0.8,0.8823529411764706,0.7647058823529411,2,0.5,0.1,0.41200000000000003,0.424,0.634,0.556,401.0,0.20106995465923463,0.0,0.0
67,89,0.9166666666666666,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8888888888888888,0,0.3,1.3,0.496,0.53,0.49200000000000005,0.49,341.0,0.06593807701169332,0.5,0.0
68,90,1.0,0.8333333333333334,0.9166666666666666,1.0,1.0,0.9444444444444444,0,0.1,1.3,0.5760000000000001,0.39799999999999996,0.49200000000000005,0.5720000000000001,169.0,0.007058564537732396,5.0,-5.0
69,91,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8611111111111112,0.9166666666666666,0,0.1,0.9,0.562,0.51,0.41,0.47200000000000003,137.0,0.0624203225453591,5.0,0.0
