,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,alpha,egs,mDOC,mDOI,mPOC,mPOI,mid,min_rmse,r1,r2
127,vd9r5nk020201111,1.0,0.3333333333333333,0.75,1.0,False,0.8125,0.8125,4,0.3,1.3,0.6679999999999999,0.162,0.35600000000000004,0.826,348.0,0.4434797047517371,5.0,-10.0
128,vmm0jyvv20200217,0.8,1.0,0.2,0.2,True,0.95,0.55,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.6713448274413971,10.0,-0.5
129,vomf13pu20200214,0.0,0.25,0.6666666666666666,0.5,True,1.0,0.4,10,0.9,0.1,0.348,0.37799999999999995,0.632,0.638,761.0,0.3926000191753225,0.0,0.0
130,w0wujzqz20201208,0.8,0.6,0.8,0.0,False,0.9,0.55,0,0.1,0.9,0.546,0.494,0.49200000000000005,0.474,111.0,0.7983023692749449,0.0,-0.5
131,x2qq61ea20200129,1.0,1.0,0.6,0.8,True,0.875,0.8125,4,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.464010140421648,10.0,-0.5
132,x9y7eeqv20201103,0.0,0.2,0.0,0.2,False,1.0,0.1,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.5065148728763138,0.0,-0.1
133,xgy75o3f20201206,0.75,0.75,0.75,1.0,False,0.9285714285714286,0.7857142857142857,6,0.5,0.5,0.506,0.414,0.514,0.64,441.0,0.3883154893894844,0.1,-0.5
134,y5qncmp920200228,0.6,1.0,0.6,0.2,True,0.9,0.6,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.6397591803083977,0.1,0.0
135,y8u8ss9t20201107,0.75,0.6666666666666666,0.6666666666666666,1.0,False,0.8461538461538461,0.7692307692307693,7,0.9,1.3,0.522,0.38,0.462,0.6779999999999999,878.0,0.3402584595729049,0.5,-1.0
136,ygepr20b20201121,1.0,1.0,1.0,1.0,False,0.95,1.0,0,0.9,1.3,0.512,0.518,0.514,0.532,868.0,0.49295177505111437,0.0,-0.1
137,yr4btkgb20201126,0.8,1.0,0.4,0.6,False,0.9473684210526316,0.6842105263157895,1,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.48138513689892465,10.0,-0.5
138,za0p1wmj20201115,1.0,1.0,1.0,0.8,False,0.95,0.95,0,0.7,1.3,0.504,0.49200000000000005,0.54,0.5,694.0,0.5651713593603893,0.1,-0.1
139,zalhzd5l20201120,1.0,1.0,1.0,1.0,False,0.95,1.0,0,0.9,1.3,0.512,0.518,0.514,0.532,868.0,0.49295177505111437,0.0,-0.1
140,zes08nnl20201116,0.75,0.5,1.0,0.8,False,0.9411764705882352,0.7647058823529411,3,0.7,0.1,0.426,0.38,0.634,0.61,581.0,0.42787383293064357,0.0,0.0
