,surveyID,DOC,DOI,POC,POI,old,resp_accuracy,mean_prop,missing_entries,alpha,egs,mDOC,mDOI,mPOC,mPOI,mid,min_rmse,r1,r2
12,2tobc1y520200127,0.3333333333333333,0.8,0.5,0.8,True,0.9411764705882352,0.6470588235294118,3,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.27346845034360606,0.0,-0.1
13,3buyh5cf20201201,1.0,1.0,0.2,0.6,False,1.0,0.7,0,0.3,1.3,0.82,0.522,0.15,0.5,358.0,0.2279034883453959,10.0,-0.1
14,3eawrh7a20200127,1.0,1.0,1.0,1.0,True,0.9,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
15,3oa8oht020201103,1.0,0.25,0.4,0.6,False,0.8333333333333334,0.5555555555555556,2,0.1,0.5,0.7759999999999999,0.322,0.218,0.5920000000000001,103.0,0.19853882911578447,10.0,-5.0
16,3r2ryu3720201113,1.0,1.0,0.6,0.6,False,1.0,0.8,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.16860209567697154,10.0,-0.5
17,3snwhrt620201123,1.0,1.0,1.0,1.0,False,1.0,1.0,7,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
18,3t6e4bdy20201116,1.0,1.0,0.8,0.4,False,0.95,0.8,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.299664256571695,0.5,0.0
19,4keyrr2d20201120,0.6,0.8,0.8,0.8,False,0.9,0.75,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.08362814518250819,0.1,0.0
20,4mp9c1lx20201102,0.2,0.8,0.2,0.4,False,0.8,0.4,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.32842096969184736,0.1,0.0
21,52eq140x20200217,1.0,1.0,1.0,1.0,True,0.95,1.0,0,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
22,568mzqtf20201105,0.6,1.0,1.0,0.8,False,0.95,0.85,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.2099055343084916,0.1,0.0
23,5vahoc0o20200127,1.0,0.4,0.6,0.75,True,1.0,0.6842105263157895,1,0.9,0.9,0.66,0.29,0.358,0.672,848.0,0.16735292050036055,1.0,-1.0
24,5vvjswl220201208,0.2,0.6,0.2,0.2,False,0.9,0.3,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.20098175704940655,0.1,0.0
25,60a2h15h20201105,0.2,0.6,0.6,0.6,False,0.85,0.5,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.20815138721613174,0.1,0.0
26,70on3oc120200214,0.8,0.4,0.4,0.6,True,1.0,0.55,0,0.1,0.9,0.696,0.37200000000000005,0.33,0.58,139.0,0.05390423607349117,10.0,-5.0
27,7c7ybket20200127,0.6,0.4,0.8,0.4,True,1.0,0.55,0,0.7,0.5,0.462,0.442,0.546,0.47600000000000003,616.0,0.2183124671962949,0.0,-0.1
28,7t97zebw20200211,1.0,0.8,0.8,0.6,True,0.95,0.8,0,0.3,0.9,0.598,0.45799999999999996,0.45399999999999996,0.48,311.0,0.15705306958689685,1.0,0.0
29,85kcpq4820200308,0.75,1.0,1.0,0.4,True,1.0,0.7777777777777778,2,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.3607658520425679,0.1,0.0
30,8g0oakbb20200214,0.6,0.8,0.6,0.6,True,0.75,0.65,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.07434379597518546,0.1,0.0
31,8s6t5xb720200129,0.8,0.3333333333333333,0.8,0.75,True,0.7058823529411765,0.7058823529411765,3,0.9,0.9,0.52,0.29,0.504,0.652,836.0,0.17932928743887133,0.1,-1.0
32,8xrzkbzl20201113,0.2,0.4,0.0,0.0,False,1.0,0.15,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.17529118631579854,0.1,0.0
33,90za526r20200217,1.0,1.0,0.4,0.6,True,1.0,0.75,0,0.3,0.9,0.754,0.496,0.25,0.504,317.0,0.2105421572987225,5.0,0.0
34,97b1s46u20201106,1.0,0.8,0.8,1.0,False,0.95,0.9,0,0.9,0.9,0.624,0.42,0.42200000000000004,0.628,843.0,0.004509249752822877,0.5,-0.5
35,9psntbym20201207,0.8,0.6,0.0,0.4,False,0.9,0.45,0,0.3,1.3,0.82,0.522,0.15,0.5,358.0,0.10927030703718188,10.0,-0.1
36,9q080hvl20201204,1.0,1.0,0.6,0.6,False,0.9,0.8,0,0.1,1.3,0.642,0.546,0.408,0.5,177.0,0.16860209567697154,10.0,-0.5
37,ac6pz6rt20201102,0.0,0.6,0.0,0.2,False,1.0,0.2222222222222222,2,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.32842096969184736,0.1,0.0
38,ackgo30v20200227,0.8,1.0,1.0,1.0,True,1.0,0.95,0,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.08362814518250819,0.1,0.0
39,aherzvzb20201106,0.4,0.4,0.2,0.4,False,1.0,0.35,0,0.1,0.9,0.58,0.51,0.4,0.516,136.0,0.0635741037425355,5.0,-0.1
40,ak018tef20201118,0.8,1.0,0.8,1.0,False,0.85,0.9,0,0.1,0.5,0.47,0.508,0.444,0.556,76.0,0.10662863905474301,0.0,-0.1
41,am6ox9ao20201114,1.0,0.4,0.4,0.6,False,0.95,0.6,0,0.1,0.5,0.7759999999999999,0.322,0.218,0.5920000000000001,103.0,0.1350654162495591,10.0,-5.0
42,awveeytc20201103,1.0,1.0,1.0,0.8,False,0.65,0.95,0,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.10423690964976529,0.5,0.0
43,b9zlolfy20200115,0.6,1.0,0.8,0.5,True,0.9444444444444444,0.7222222222222222,2,0.1,0.5,0.442,0.55,0.49200000000000005,0.478,83.0,0.24925288363427212,0.1,0.0
44,bdhboees20201112,1.0,1.0,1.0,0.8,False,0.9411764705882352,0.9411764705882352,3,0.5,0.9,0.508,0.504,0.488,0.456,485.0,0.10423690964976529,0.5,0.0
45,bjmjt11l20200129,0.0,0.0,0.0,0.0,True,1.0,0.0,10,0.1,0.9,0.506,0.512,0.502,0.508,112.0,0.0054160256030906405,0.0,-0.1
46,blhofw6920201105,1.0,1.0,0.4,0.6,False,0.95,0.75,0,0.3,0.9,0.754,0.496,0.25,0.504,317.0,0.2105421572987225,5.0,0.0
