,subjID,AC,AI,PC,PI,resp_accuracy,mean_prop,missing_entries,mid,alpha,egs,mAC,mAI,mPC,mPI,min_rmse,r1,r2
0,1,1.0,1.0,0.9090909090909092,1.0,0.7428571428571429,0.9714285714285714,1,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.4750274665652058,0.5,-0.1
1,3,0.8333333333333334,1.0,0.4166666666666667,0.5,0.75,0.6666666666666666,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.48470228787890635,10.0,-0.5
2,4,0.9166666666666666,0.5,0.3333333333333333,0.3333333333333333,0.9722222222222222,0.5555555555555556,0,107.0,0.1,0.5,0.802,0.488,0.20800000000000002,0.496,0.3005217621824532,10.0,0.0
3,5,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8888888888888888,0.9166666666666666,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4739959179521489,10.0,-0.5
4,6,1.0,1.0,0.9166666666666666,1.0,1.0,0.9722222222222222,0,484.0,0.5,0.9,0.5579999999999999,0.526,0.452,0.55,0.47817132765928105,0.5,-0.1
5,7,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8055555555555556,0,177.0,0.1,1.3,0.642,0.546,0.408,0.5,0.4523249048795849,10.0,-0.5
6,8,0.75,0.8333333333333334,0.0,0.16666666666666666,0.8055555555555556,0.4166666666666667,0,358.0,0.3,1.3,0.82,0.522,0.15,0.5,0.5641951212705577,10.0,-0.1
7,9,0.75,1.0,0.2727272727272727,0.5,0.9428571428571428,0.6,1,179.0,0.1,1.3,0.614,0.536,0.38,0.506,0.5334359352309491,10.0,0.0
8,13,0.9166666666666666,1.0,0.9166666666666666,0.6666666666666666,0.9166666666666666,0.8888888888888888,0,485.0,0.5,0.9,0.508,0.504,0.488,0.456,0.5560913526689549,0.5,0.0
9,14,0.9166666666666666,1.0,0.9166666666666666,0.3333333333333333,0.9722222222222222,0.8333333333333334,0,485.0,0.5,0.9,0.508,0.504,0.488,0.456,0.756762110063549,0.5,0.0
10,15,0.75,0.8333333333333334,0.5833333333333334,0.3333333333333333,0.8055555555555556,0.6388888888888888,0,485.0,0.5,0.9,0.508,0.504,0.488,0.456,0.43824968903926376,0.5,0.0
