,alpha,egs,r1,r2,DOC,DOI,POC,POI
447,0.5,0.5,0.5,-0.5,0.536,0.4,0.402,0.594
448,0.5,0.5,0.5,-0.1,0.592,0.45,0.412,0.582
449,0.5,0.5,0.5,0,0.524,0.482,0.418,0.55
450,0.5,0.5,1,-10,0.652,0,0.376,1
451,0.5,0.5,1,-5,0.64,0.024,0.34,0.962
452,0.5,0.5,1,-1,0.626,0.308,0.376,0.662
453,0.5,0.5,1,-0.5,0.622,0.422,0.36,0.634
454,0.5,0.5,1,-0.1,0.66,0.498,0.368,0.53
455,0.5,0.5,1,0,0.666,0.474,0.34,0.48
456,0.5,0.5,5,-10,0.966,0.002,0.034,0.998
457,0.5,0.5,5,-5,0.976,0.026,0.052,0.978
458,0.5,0.5,5,-1,0.972,0.344,0.03,0.674
459,0.5,0.5,5,-0.5,0.966,0.43,0.02,0.606
460,0.5,0.5,5,-0.1,0.948,0.464,0.03,0.542
461,0.5,0.5,5,0,0.978,0.474,0.02,0.532
462,0.5,0.5,10,-10,0.998,0,0,0.998
463,0.5,0.5,10,-5,0.998,0.036,0,0.966
464,0.5,0.5,10,-1,1,0.322,0,0.69
465,0.5,0.5,10,-0.5,1,0.416,0.004,0.606
466,0.5,0.5,10,-0.1,0.998,0.488,0,0.574
467,0.5,0.5,10,0,1,0.48,0,0.506
468,0.5,0.9,0,-10,0.52,0.016,0.504,0.984
469,0.5,0.9,0,-5,0.526,0.128,0.492,0.874
470,0.5,0.9,0,-1,0.472,0.43,0.558,0.63
471,0.5,0.9,0,-0.5,0.482,0.456,0.528,0.58
472,0.5,0.9,0,-0.1,0.466,0.5,0.496,0.508
473,0.5,0.9,0,0,0.496,0.456,0.51,0.518
474,0.5,0.9,0.1,-10,0.516,0.02,0.502,0.986
475,0.5,0.9,0.1,-5,0.508,0.134,0.526,0.876
476,0.5,0.9,0.1,-1,0.462,0.396,0.478,0.59
477,0.5,0.9,0.1,-0.5,0.534,0.46,0.498,0.554
478,0.5,0.9,0.1,-0.1,0.494,0.496,0.47,0.56
479,0.5,0.9,0.1,0,0.482,0.504,0.51,0.5
480,0.5,0.9,0.5,-10,0.52,0.028,0.47,0.984
481,0.5,0.9,0.5,-5,0.506,0.114,0.49,0.892
482,0.5,0.9,0.5,-1,0.55,0.398,0.476,0.568
483,0.5,0.9,0.5,-0.5,0.536,0.474,0.476,0.544
484,0.5,0.9,0.5,-0.1,0.558,0.526,0.452,0.55
485,0.5,0.9,0.5,0,0.508,0.504,0.488,0.456
486,0.5,0.9,1,-10,0.57,0.018,0.42,0.982
487,0.5,0.9,1,-5,0.552,0.112,0.44,0.858
488,0.5,0.9,1,-1,0.572,0.4,0.416,0.652
489,0.5,0.9,1,-0.5,0.602,0.414,0.404,0.584
490,0.5,0.9,1,-0.1,0.564,0.494,0.446,0.542
491,0.5,0.9,1,0,0.548,0.488,0.438,0.504
492,0.5,0.9,5,-10,0.884,0.014,0.126,0.986
493,0.5,0.9,5,-5,0.88,0.132,0.152,0.868
494,0.5,0.9,5,-1,0.884,0.386,0.146,0.578
495,0.5,0.9,5,-0.5,0.86,0.492,0.13,0.54
496,0.5,0.9,5,-0.1,0.882,0.462,0.122,0.556
497,0.5,0.9,5,0,0.874,0.46,0.162,0.522
498,0.5,0.9,10,-10,0.982,0.024,0.022,0.974
499,0.5,0.9,10,-5,0.982,0.116,0.014,0.89
500,0.5,0.9,10,-1,0.98,0.428,0.01,0.588
501,0.5,0.9,10,-0.5,0.986,0.454,0.016,0.562
502,0.5,0.9,10,-0.1,0.982,0.502,0.022,0.506
503,0.5,0.9,10,0,0.98,0.468,0.016,0.562
504,0.5,1.3,0,-10,0.51,0.052,0.52,0.918
505,0.5,1.3,0,-5,0.47,0.226,0.486,0.796
506,0.5,1.3,0,-1,0.528,0.412,0.532,0.576
507,0.5,1.3,0,-0.5,0.49,0.46,0.528,0.552
508,0.5,1.3,0,-0.1,0.504,0.46,0.5,0.522
509,0.5,1.3,0,0,0.5,0.46,0.522,0.494
510,0.5,1.3,0.1,-10,0.526,0.05,0.522,0.928
511,0.5,1.3,0.1,-5,0.506,0.238,0.548,0.774
512,0.5,1.3,0.1,-1,0.522,0.406,0.528,0.604
513,0.5,1.3,0.1,-0.5,0.494,0.468,0.476,0.548
514,0.5,1.3,0.1,-0.1,0.51,0.494,0.468,0.512
515,0.5,1.3,0.1,0,0.494,0.494,0.542,0.508
516,0.5,1.3,0.5,-10,0.556,0.078,0.468,0.948
517,0.5,1.3,0.5,-5,0.52,0.232,0.498,0.772
518,0.5,1.3,0.5,-1,0.53,0.39,0.478,0.6
519,0.5,1.3,0.5,-0.5,0.568,0.492,0.474,0.568
520,0.5,1.3,0.5,-0.1,0.522,0.494,0.476,0.516
521,0.5,1.3,0.5,0,0.536,0.472,0.444,0.48
522,0.5,1.3,1,-10,0.562,0.058,0.424,0.94
523,0.5,1.3,1,-5,0.578,0.222,0.438,0.778
524,0.5,1.3,1,-1,0.536,0.416,0.41,0.584
525,0.5,1.3,1,-0.5,0.528,0.462,0.426,0.524
526,0.5,1.3,1,-0.1,0.534,0.492,0.454,0.54
527,0.5,1.3,1,0,0.596,0.482,0.42,0.498
528,0.5,1.3,5,-10,0.78,0.058,0.212,0.944
529,0.5,1.3,5,-5,0.772,0.22,0.214,0.81
530,0.5,1.3,5,-1,0.76,0.454,0.218,0.612
531,0.5,1.3,5,-0.5,0.83,0.468,0.248,0.574
532,0.5,1.3,5,-0.1,0.802,0.502,0.2,0.488
533,0.5,1.3,5,0,0.8,0.49,0.206,0.522
534,0.5,1.3,10,-10,0.93,0.05,0.088,0.934
535,0.5,1.3,10,-5,0.936,0.218,0.05,0.796
536,0.5,1.3,10,-1,0.938,0.434,0.07,0.578
537,0.5,1.3,10,-0.5,0.944,0.45,0.054,0.504
538,0.5,1.3,10,-0.1,0.932,0.45,0.076,0.49
539,0.5,1.3,10,0,0.934,0.506,0.066,0.52
540,0.7,0.01,0,-10,0.006,0,0.998,1
541,0.7,0.01,0,-5,0.006,0,0.996,1
542,0.7,0.01,0,-1,0.002,0,0.996,1
543,0.7,0.01,0,-0.5,0.006,0,0.996,1
544,0.7,0.01,0,-0.1,0.006,0,0.996,1
545,0.7,0.01,0,0,0.002,0.006,0.986,0.996
546,0.7,0.01,0.1,-10,0.476,0,0.47,1
547,0.7,0.01,0.1,-5,0.534,0,0.47,1
548,0.7,0.01,0.1,-1,0.484,0,0.476,1
549,0.7,0.01,0.1,-0.5,0.518,0,0.512,1
550,0.7,0.01,0.1,-0.1,0.514,0,0.512,1
551,0.7,0.01,0.1,0,0.508,0.006,0.504,0.994
552,0.7,0.01,0.5,-10,1,0,0,1
553,0.7,0.01,0.5,-5,1,0,0,1
554,0.7,0.01,0.5,-1,1,0,0,1
555,0.7,0.01,0.5,-0.5,1,0,0,1
556,0.7,0.01,0.5,-0.1,1,0,0,1
557,0.7,0.01,0.5,0,1,0.004,0,0.998
558,0.7,0.01,1,-10,1,0,0,1
559,0.7,0.01,1,-5,1,0,0,1
560,0.7,0.01,1,-1,1,0,0,1
561,0.7,0.01,1,-0.5,1,0,0,1
562,0.7,0.01,1,-0.1,1,0,0,1
563,0.7,0.01,1,0,1,0.01,0,0.996
564,0.7,0.01,5,-10,1,0,0,1
565,0.7,0.01,5,-5,1,0,0,1
566,0.7,0.01,5,-1,1,0,0,1
567,0.7,0.01,5,-0.5,1,0,0,1
568,0.7,0.01,5,-0.1,1,0,0,1
569,0.7,0.01,5,0,1,0.008,0,0.99
570,0.7,0.01,10,-10,1,0,0,1
571,0.7,0.01,10,-5,1,0,0,1
572,0.7,0.01,10,-1,1,0,0,1
573,0.7,0.01,10,-0.5,1,0,0,1
574,0.7,0.01,10,-0.1,1,0,0,1
575,0.7,0.01,10,0,1,0.006,0,0.998
576,0.7,0.1,0,-10,0.362,0,0.582,1
577,0.7,0.1,0,-5,0.366,0,0.618,1
578,0.7,0.1,0,-1,0.366,0.004,0.598,0.992
579,0.7,0.1,0,-0.5,0.362,0.046,0.612,0.964
580,0.7,0.1,0,-0.1,0.382,0.254,0.628,0.732
581,0.7,0.1,0,0,0.426,0.38,0.634,0.61
582,0.7,0.1,0.1,-10,0.5,0,0.474,1
583,0.7,0.1,0.1,-5,0.49,0,0.5,1
584,0.7,0.1,0.1,-1,0.488,0.002,0.45,0.996
585,0.7,0.1,0.1,-0.5,0.498,0.046,0.554,0.946
586,0.7,0.1,0.1,-0.1,0.502,0.29,0.486,0.718
587,0.7,0.1,0.1,0,0.486,0.394,0.482,0.624
588,0.7,0.1,0.5,-10,0.882,0,0.132,1
589,0.7,0.1,0.5,-5,0.842,0,0.132,1
590,0.7,0.1,0.5,-1,0.864,0.002,0.134,0.998
591,0.7,0.1,0.5,-0.5,0.876,0.06,0.124,0.962
592,0.7,0.1,0.5,-0.1,0.888,0.292,0.142,0.704
593,0.7,0.1,0.5,0,0.88,0.4,0.16,0.632
594,0.7,0.1,1,-10,0.992,0,0.002,1
595,0.7,0.1,1,-5,0.996,0,0.004,1
596,0.7,0.1,1,-1,0.988,0.002,0.004,0.996
597,0.7,0.1,1,-0.5,0.994,0.052,0.008,0.956
598,0.7,0.1,1,-0.1,0.996,0.258,0.006,0.702
599,0.7,0.1,1,0,0.996,0.402,0.006,0.58
600,0.7,0.1,5,-10,1,0,0,1
601,0.7,0.1,5,-5,1,0,0,1
602,0.7,0.1,5,-1,1,0,0,0.996
603,0.7,0.1,5,-0.5,1,0.034,0,0.962
604,0.7,0.1,5,-0.1,1,0.284,0,0.708
605,0.7,0.1,5,0,1,0.366,0,0.606
606,0.7,0.1,10,-10,1,0,0,1
607,0.7,0.1,10,-5,1,0,0,1
608,0.7,0.1,10,-1,1,0,0,0.998
609,0.7,0.1,10,-0.5,1,0.054,0,0.936
610,0.7,0.1,10,-0.1,1,0.282,0,0.72
611,0.7,0.1,10,0,1,0.388,0,0.636
612,0.7,0.5,0,-10,0.502,0,0.516,1
613,0.7,0.5,0,-5,0.466,0.002,0.516,0.988
614,0.7,0.5,0,-1,0.47,0.248,0.552,0.754
615,0.7,0.5,0,-0.5,0.472,0.352,0.52,0.622
616,0.7,0.5,0,-0.1,0.462,0.442,0.546,0.476
617,0.7,0.5,0,0,0.512,0.468,0.522,0.512
618,0.7,0.5,0.1,-10,0.524,0,0.502,1
619,0.7,0.5,0.1,-5,0.476,0.012,0.508,0.994
620,0.7,0.5,0.1,-1,0.502,0.286,0.47,0.736
621,0.7,0.5,0.1,-0.5,0.526,0.348,0.506,0.66
622,0.7,0.5,0.1,-0.1,0.506,0.42,0.488,0.55
623,0.7,0.5,0.1,0,0.518,0.466,0.496,0.488
624,0.7,0.5,0.5,-10,0.59,0,0.398,1
625,0.7,0.5,0.5,-5,0.58,0.006,0.39,0.99
626,0.7,0.5,0.5,-1,0.614,0.268,0.408,0.742
627,0.7,0.5,0.5,-0.5,0.57,0.392,0.386,0.61
628,0.7,0.5,0.5,-0.1,0.604,0.426,0.42,0.538
629,0.7,0.5,0.5,0,0.584,0.45,0.406,0.534
630,0.7,0.5,1,-10,0.696,0,0.338,1
631,0.7,0.5,1,-5,0.68,0.002,0.268,0.998
632,0.7,0.5,1,-1,0.67,0.242,0.294,0.778
633,0.7,0.5,1,-0.5,0.704,0.348,0.304,0.652
634,0.7,0.5,1,-0.1,0.722,0.466,0.314,0.516
635,0.7,0.5,1,0,0.672,0.492,0.31,0.564
636,0.7,0.5,5,-10,0.998,0,0.004,1
637,0.7,0.5,5,-5,0.988,0.002,0.018,0.99
638,0.7,0.5,5,-1,0.992,0.286,0.008,0.778
639,0.7,0.5,5,-0.5,0.994,0.378,0.012,0.656
640,0.7,0.5,5,-0.1,0.998,0.474,0.006,0.546
641,0.7,0.5,5,0,0.994,0.468,0.012,0.492
642,0.7,0.5,10,-10,1,0,0,1
643,0.7,0.5,10,-5,1,0,0,1
644,0.7,0.5,10,-1,1,0.266,0,0.73
645,0.7,0.5,10,-0.5,1,0.338,0,0.67
646,0.7,0.5,10,-0.1,1,0.488,0,0.54
647,0.7,0.5,10,0,1,0.464,0,0.512
648,0.7,0.9,0,-10,0.456,0,0.526,0.994
649,0.7,0.9,0,-5,0.494,0.074,0.502,0.95
650,0.7,0.9,0,-1,0.524,0.382,0.48,0.676
651,0.7,0.9,0,-0.5,0.51,0.448,0.552,0.6
652,0.7,0.9,0,-0.1,0.486,0.486,0.444,0.532
653,0.7,0.9,0,0,0.466,0.468,0.522,0.498
654,0.7,0.9,0.1,-10,0.482,0.01,0.518,0.998
655,0.7,0.9,0.1,-5,0.492,0.052,0.522,0.944
656,0.7,0.9,0.1,-1,0.502,0.394,0.51,0.636
657,0.7,0.9,0.1,-0.5,0.496,0.444,0.532,0.588
658,0.7,0.9,0.1,-0.1,0.49,0.492,0.532,0.53
659,0.7,0.9,0.1,0,0.49,0.496,0.498,0.564
660,0.7,0.9,0.5,-10,0.56,0.002,0.434,0.996
661,0.7,0.9,0.5,-5,0.566,0.058,0.454,0.946
662,0.7,0.9,0.5,-1,0.606,0.352,0.466,0.638
663,0.7,0.9,0.5,-0.5,0.576,0.408,0.432,0.536
664,0.7,0.9,0.5,-0.1,0.558,0.448,0.418,0.51
665,0.7,0.9,0.5,0,0.568,0.48,0.452,0.52
666,0.7,0.9,1,-10,0.61,0.004,0.394,1
667,0.7,0.9,1,-5,0.594,0.06,0.378,0.944
668,0.7,0.9,1,-1,0.598,0.358,0.4,0.664
669,0.7,0.9,1,-0.5,0.636,0.424,0.396,0.596
670,0.7,0.9,1,-0.1,0.594,0.456,0.392,0.524
671,0.7,0.9,1,0,0.608,0.512,0.4,0.524
672,0.7,0.9,5,-10,0.942,0.006,0.078,1
673,0.7,0.9,5,-5,0.936,0.05,0.072,0.958
674,0.7,0.9,5,-1,0.93,0.37,0.08,0.626
675,0.7,0.9,5,-0.5,0.932,0.414,0.074,0.56
676,0.7,0.9,5,-0.1,0.932,0.476,0.05,0.516
677,0.7,0.9,5,0,0.924,0.53,0.056,0.492
678,0.7,0.9,10,-10,1,0.002,0.002,1
679,0.7,0.9,10,-5,0.992,0.092,0.004,0.934
680,0.7,0.9,10,-1,0.996,0.352,0,0.622
681,0.7,0.9,10,-0.5,0.992,0.408,0.004,0.546
682,0.7,0.9,10,-0.1,0.996,0.462,0.004,0.554
683,0.7,0.9,10,0,0.996,0.482,0.004,0.508
684,0.7,1.3,0,-10,0.52,0.032,0.51,0.986
685,0.7,1.3,0,-5,0.534,0.138,0.514,0.886
686,0.7,1.3,0,-1,0.484,0.396,0.544,0.57
687,0.7,1.3,0,-0.5,0.47,0.386,0.48,0.536
688,0.7,1.3,0,-0.1,0.468,0.494,0.51,0.506
689,0.7,1.3,0,0,0.458,0.48,0.52,0.49
690,0.7,1.3,0.1,-10,0.526,0.02,0.514,0.99
691,0.7,1.3,0.1,-5,0.482,0.154,0.488,0.868
692,0.7,1.3,0.1,-1,0.526,0.422,0.528,0.598
693,0.7,1.3,0.1,-0.5,0.482,0.424,0.452,0.576
694,0.7,1.3,0.1,-0.1,0.504,0.492,0.54,0.5
695,0.7,1.3,0.1,0,0.48,0.504,0.474,0.498
696,0.7,1.3,0.5,-10,0.532,0.018,0.42,0.98
697,0.7,1.3,0.5,-5,0.552,0.15,0.488,0.882
698,0.7,1.3,0.5,-1,0.528,0.416,0.492,0.6
699,0.7,1.3,0.5,-0.5,0.52,0.426,0.494,0.526
700,0.7,1.3,0.5,-0.1,0.562,0.484,0.418,0.528
701,0.7,1.3,0.5,0,0.526,0.522,0.474,0.504
702,0.7,1.3,1,-10,0.592,0.016,0.404,0.984
703,0.7,1.3,1,-5,0.594,0.118,0.412,0.848
704,0.7,1.3,1,-1,0.59,0.416,0.41,0.588
705,0.7,1.3,1,-0.5,0.596,0.474,0.496,0.562
706,0.7,1.3,1,-0.1,0.588,0.49,0.404,0.52
707,0.7,1.3,1,0,0.524,0.462,0.404,0.538
708,0.7,1.3,5,-10,0.848,0.018,0.152,0.988
709,0.7,1.3,5,-5,0.878,0.126,0.168,0.86
710,0.7,1.3,5,-1,0.86,0.37,0.122,0.59
711,0.7,1.3,5,-0.5,0.836,0.44,0.162,0.542
712,0.7,1.3,5,-0.1,0.852,0.468,0.146,0.564
713,0.7,1.3,5,0,0.862,0.454,0.12,0.49
714,0.7,1.3,10,-10,0.984,0.026,0.022,0.976
715,0.7,1.3,10,-5,0.97,0.112,0.026,0.87
716,0.7,1.3,10,-1,0.976,0.41,0.02,0.62
717,0.7,1.3,10,-0.5,0.98,0.436,0.026,0.576
718,0.7,1.3,10,-0.1,0.98,0.516,0.024,0.528
719,0.7,1.3,10,0,0.982,0.482,0.022,0.502
720,0.9,0.01,0,-10,0,0,1,1
721,0.9,0.01,0,-5,0.002,0,1,1
722,0.9,0.01,0,-1,0,0,0.998,1
723,0.9,0.01,0,-0.5,0,0,1,1
724,0.9,0.01,0,-0.1,0,0,1,1
725,0.9,0.01,0,0,0,0,1,0.998
726,0.9,0.01,0.1,-10,0.486,0,0.494,1
727,0.9,0.01,0.1,-5,0.5,0,0.5,1
728,0.9,0.01,0.1,-1,0.492,0,0.488,1
729,0.9,0.01,0.1,-0.5,0.518,0,0.498,1
730,0.9,0.01,0.1,-0.1,0.48,0,0.492,1
731,0.9,0.01,0.1,0,0.552,0,0.498,1
732,0.9,0.01,0.5,-10,1,0,0,1
733,0.9,0.01,0.5,-5,1,0,0,1
734,0.9,0.01,0.5,-1,1,0,0,1
735,0.9,0.01,0.5,-0.5,1,0,0,1
736,0.9,0.01,0.5,-0.1,1,0,0,1
737,0.9,0.01,0.5,0,1,0.002,0,1
738,0.9,0.01,1,-10,1,0,0,1
739,0.9,0.01,1,-5,1,0,0,1
740,0.9,0.01,1,-1,1,0,0,1
741,0.9,0.01,1,-0.5,1,0,0,1
742,0.9,0.01,1,-0.1,1,0,0,1
743,0.9,0.01,1,0,1,0,0,1
744,0.9,0.01,5,-10,1,0,0,1
745,0.9,0.01,5,-5,1,0,0,1
746,0.9,0.01,5,-1,1,0,0,1
747,0.9,0.01,5,-0.5,1,0,0,1
748,0.9,0.01,5,-0.1,1,0,0,1
749,0.9,0.01,5,0,1,0.006,0,1
750,0.9,0.01,10,-10,1,0,0,1
751,0.9,0.01,10,-5,1,0,0,1
752,0.9,0.01,10,-1,1,0,0,1
753,0.9,0.01,10,-0.5,1,0,0,1
754,0.9,0.01,10,-0.1,1,0,0,1
755,0.9,0.01,10,0,1,0,0,0.998
756,0.9,0.1,0,-10,0.374,0,0.652,1
757,0.9,0.1,0,-5,0.328,0,0.68,1
758,0.9,0.1,0,-1,0.384,0,0.656,1
759,0.9,0.1,0,-0.5,0.346,0.03,0.656,0.98
760,0.9,0.1,0,-0.1,0.36,0.256,0.602,0.768
761,0.9,0.1,0,0,0.348,0.378,0.632,0.638
762,0.9,0.1,0.1,-10,0.496,0,0.5,1
763,0.9,0.1,0.1,-5,0.51,0,0.456,1
764,0.9,0.1,0.1,-1,0.472,0,0.462,0.998
765,0.9,0.1,0.1,-0.5,0.52,0.014,0.484,0.982
766,0.9,0.1,0.1,-0.1,0.512,0.226,0.5,0.794
767,0.9,0.1,0.1,0,0.498,0.322,0.474,0.624
768,0.9,0.1,0.5,-10,0.932,0,0.066,1
769,0.9,0.1,0.5,-5,0.93,0,0.102,1
770,0.9,0.1,0.5,-1,0.93,0,0.054,1
771,0.9,0.1,0.5,-0.5,0.936,0.026,0.078,0.98
772,0.9,0.1,0.5,-0.1,0.93,0.23,0.072,0.764
773,0.9,0.1,0.5,0,0.914,0.352,0.066,0.666
774,0.9,0.1,1,-10,0.996,0,0,1
775,0.9,0.1,1,-5,1,0,0,1
776,0.9,0.1,1,-1,1,0,0.002,1
777,0.9,0.1,1,-0.5,0.998,0.018,0.004,0.986
778,0.9,0.1,1,-0.1,0.998,0.25,0.002,0.75
779,0.9,0.1,1,0,1,0.368,0,0.61
780,0.9,0.1,5,-10,1,0,0,1
781,0.9,0.1,5,-5,1,0,0,1
782,0.9,0.1,5,-1,1,0,0,1
783,0.9,0.1,5,-0.5,1,0.026,0,0.976
784,0.9,0.1,5,-0.1,1,0.246,0,0.812
785,0.9,0.1,5,0,1,0.378,0,0.64
786,0.9,0.1,10,-10,1,0,0,1
787,0.9,0.1,10,-5,1,0,0,1
788,0.9,0.1,10,-1,1,0,0,1
789,0.9,0.1,10,-0.5,1,0.024,0,0.978
790,0.9,0.1,10,-0.1,1,0.26,0,0.752
791,0.9,0.1,10,0,1,0.364,0,0.638
792,0.9,0.5,0,-10,0.486,0,0.494,1
793,0.9,0.5,0,-5,0.462,0,0.506,1
794,0.9,0.5,0,-1,0.454,0.18,0.512,0.792
795,0.9,0.5,0,-0.5,0.448,0.366,0.552,0.684
796,0.9,0.5,0,-0.1,0.43,0.48,0.512,0.578
797,0.9,0.5,0,0,0.444,0.496,0.54,0.534
798,0.9,0.5,0.1,-10,0.5,0,0.52,1
799,0.9,0.5,0.1,-5,0.506,0,0.52,1
800,0.9,0.5,0.1,-1,0.48,0.19,0.47,0.79
801,0.9,0.5,0.1,-0.5,0.502,0.308,0.496,0.654
802,0.9,0.5,0.1,-0.1,0.504,0.446,0.5,0.564
803,0.9,0.5,0.1,0,0.488,0.45,0.53,0.566
804,0.9,0.5,0.5,-10,0.65,0,0.376,1
805,0.9,0.5,0.5,-5,0.584,0,0.372,0.998
806,0.9,0.5,0.5,-1,0.606,0.176,0.352,0.772
807,0.9,0.5,0.5,-0.5,0.602,0.304,0.42,0.634
808,0.9,0.5,0.5,-0.1,0.626,0.424,0.368,0.568
809,0.9,0.5,0.5,0,0.638,0.512,0.408,0.532
810,0.9,0.5,1,-10,0.756,0,0.262,1
811,0.9,0.5,1,-5,0.732,0,0.238,0.998
812,0.9,0.5,1,-1,0.74,0.194,0.232,0.786
813,0.9,0.5,1,-0.5,0.768,0.334,0.26,0.676
814,0.9,0.5,1,-0.1,0.766,0.432,0.27,0.588
815,0.9,0.5,1,0,0.75,0.468,0.26,0.564
816,0.9,0.5,5,-10,1,0,0.006,1
817,0.9,0.5,5,-5,1,0,0.002,1
818,0.9,0.5,5,-1,1,0.218,0,0.774
819,0.9,0.5,5,-0.5,0.998,0.336,0,0.678
820,0.9,0.5,5,-0.1,1,0.416,0,0.544
821,0.9,0.5,5,0,1,0.458,0,0.58
822,0.9,0.5,10,-10,1,0,0,1
823,0.9,0.5,10,-5,1,0,0,0.998
824,0.9,0.5,10,-1,1,0.192,0,0.804
825,0.9,0.5,10,-0.5,1,0.338,0,0.638
826,0.9,0.5,10,-0.1,1,0.434,0,0.564
827,0.9,0.5,10,0,1,0.472,0,0.53
828,0.9,0.9,0,-10,0.49,0.002,0.512,1
829,0.9,0.9,0,-5,0.518,0.022,0.504,0.982
830,0.9,0.9,0,-1,0.492,0.318,0.52,0.666
831,0.9,0.9,0,-0.5,0.444,0.378,0.53,0.656
832,0.9,0.9,0,-0.1,0.484,0.482,0.554,0.548
833,0.9,0.9,0,0,0.482,0.478,0.512,0.528
834,0.9,0.9,0.1,-10,0.504,0,0.496,1
835,0.9,0.9,0.1,-5,0.5,0.02,0.536,0.976
836,0.9,0.9,0.1,-1,0.52,0.29,0.504,0.652
837,0.9,0.9,0.1,-0.5,0.476,0.412,0.484,0.584
838,0.9,0.9,0.1,-0.1,0.478,0.484,0.508,0.538
839,0.9,0.9,0.1,0,0.492,0.488,0.512,0.502
840,0.9,0.9,0.5,-10,0.54,0,0.426,1
841,0.9,0.9,0.5,-5,0.568,0.032,0.426,0.976
842,0.9,0.9,0.5,-1,0.546,0.328,0.44,0.676
843,0.9,0.9,0.5,-0.5,0.624,0.42,0.422,0.628
844,0.9,0.9,0.5,-0.1,0.624,0.48,0.432,0.546
845,0.9,0.9,0.5,0,0.59,0.498,0.44,0.51
846,0.9,0.9,1,-10,0.638,0,0.344,1
847,0.9,0.9,1,-5,0.648,0.034,0.366,0.978
848,0.9,0.9,1,-1,0.66,0.29,0.358,0.672
849,0.9,0.9,1,-0.5,0.67,0.358,0.332,0.606
850,0.9,0.9,1,-0.1,0.662,0.488,0.322,0.546
851,0.9,0.9,1,0,0.616,0.49,0.368,0.532
852,0.9,0.9,5,-10,0.976,0,0.026,1
853,0.9,0.9,5,-5,0.974,0.036,0.03,0.98
854,0.9,0.9,5,-1,0.972,0.334,0.032,0.658
855,0.9,0.9,5,-0.5,0.948,0.392,0.034,0.634
856,0.9,0.9,5,-0.1,0.97,0.464,0.034,0.576
857,0.9,0.9,5,0,0.972,0.516,0.022,0.548
858,0.9,0.9,10,-10,1,0.002,0,1
859,0.9,0.9,10,-5,1,0.02,0.002,0.96
860,0.9,0.9,10,-1,1,0.328,0,0.644
861,0.9,0.9,10,-0.5,1,0.396,0,0.62
862,0.9,0.9,10,-0.1,1,0.492,0,0.544
863,0.9,0.9,10,0,1,0.466,0,0.518
864,0.9,1.3,0,-10,0.47,0.008,0.54,0.994
865,0.9,1.3,0,-5,0.484,0.076,0.542,0.916
866,0.9,1.3,0,-1,0.462,0.378,0.54,0.628
867,0.9,1.3,0,-0.5,0.472,0.462,0.506,0.56
868,0.9,1.3,0,-0.1,0.512,0.518,0.514,0.532
869,0.9,1.3,0,0,0.488,0.474,0.51,0.542
870,0.9,1.3,0.1,-10,0.462,0.004,0.516,0.986
871,0.9,1.3,0.1,-5,0.46,0.08,0.5,0.926
872,0.9,1.3,0.1,-1,0.542,0.362,0.472,0.628
873,0.9,1.3,0.1,-0.5,0.52,0.41,0.448,0.588
874,0.9,1.3,0.1,-0.1,0.476,0.476,0.49,0.52
875,0.9,1.3,0.1,0,0.5,0.484,0.476,0.484
876,0.9,1.3,0.5,-10,0.568,0.002,0.452,0.998
877,0.9,1.3,0.5,-5,0.544,0.098,0.456,0.918
878,0.9,1.3,0.5,-1,0.522,0.38,0.462,0.678
879,0.9,1.3,0.5,-0.5,0.584,0.448,0.482,0.578
880,0.9,1.3,0.5,-0.1,0.544,0.466,0.456,0.53
881,0.9,1.3,0.5,0,0.556,0.476,0.432,0.498
882,0.9,1.3,1,-10,0.614,0.008,0.414,0.992
883,0.9,1.3,1,-5,0.644,0.076,0.4,0.92
884,0.9,1.3,1,-1,0.596,0.356,0.382,0.62
885,0.9,1.3,1,-0.5,0.61,0.454,0.414,0.568
886,0.9,1.3,1,-0.1,0.586,0.498,0.414,0.526
887,0.9,1.3,1,0,0.588,0.476,0.4,0.55
888,0.9,1.3,5,-10,0.908,0.01,0.1,0.992
889,0.9,1.3,5,-5,0.934,0.064,0.092,0.946
890,0.9,1.3,5,-1,0.906,0.376,0.09,0.618
891,0.9,1.3,5,-0.5,0.918,0.408,0.082,0.582
892,0.9,1.3,5,-0.1,0.926,0.508,0.106,0.522
893,0.9,1.3,5,0,0.92,0.482,0.074,0.512
894,0.9,1.3,10,-10,0.992,0.002,0,0.99
895,0.9,1.3,10,-5,0.996,0.086,0.002,0.908
896,0.9,1.3,10,-1,0.994,0.362,0.004,0.636
897,0.9,1.3,10,-0.5,0.992,0.406,0.002,0.522
898,0.9,1.3,10,-0.1,0.99,0.472,0.008,0.48
899,0.9,1.3,10,0,0.996,0.45,0.006,0.458
