,alpha,egs,r1,r2,DOC,DOI,POC,POI
91,0.1,0.5,1,-5,0.512,0.346,0.478,0.656
92,0.1,0.5,1,-1,0.512,0.452,0.424,0.532
93,0.1,0.5,1,-0.5,0.528,0.5,0.486,0.53
94,0.1,0.5,1,-0.1,0.51,0.506,0.484,0.512
95,0.1,0.5,1,0,0.566,0.464,0.472,0.478
96,0.1,0.5,5,-10,0.626,0.208,0.344,0.774
97,0.1,0.5,5,-5,0.614,0.316,0.342,0.65
98,0.1,0.5,5,-1,0.674,0.472,0.33,0.508
99,0.1,0.5,5,-0.5,0.638,0.512,0.322,0.516
100,0.1,0.5,5,-0.1,0.656,0.496,0.318,0.508
101,0.1,0.5,5,0,0.678,0.51,0.34,0.514
102,0.1,0.5,10,-10,0.784,0.186,0.226,0.768
103,0.1,0.5,10,-5,0.776,0.322,0.218,0.592
104,0.1,0.5,10,-1,0.814,0.47,0.22,0.53
105,0.1,0.5,10,-0.5,0.754,0.45,0.216,0.52
106,0.1,0.5,10,-0.1,0.79,0.484,0.216,0.512
107,0.1,0.5,10,0,0.802,0.488,0.208,0.496
108,0.1,0.9,0,-10,0.506,0.296,0.504,0.698
109,0.1,0.9,0,-5,0.522,0.368,0.464,0.614
110,0.1,0.9,0,-1,0.494,0.508,0.514,0.542
111,0.1,0.9,0,-0.5,0.546,0.494,0.492,0.474
112,0.1,0.9,0,-0.1,0.506,0.512,0.502,0.508
113,0.1,0.9,0,0,0.464,0.468,0.438,0.462
114,0.1,0.9,0.1,-10,0.494,0.308,0.5,0.704
115,0.1,0.9,0.1,-5,0.52,0.392,0.51,0.582
116,0.1,0.9,0.1,-1,0.542,0.484,0.524,0.572
117,0.1,0.9,0.1,-0.5,0.512,0.466,0.54,0.524
118,0.1,0.9,0.1,-0.1,0.526,0.47,0.512,0.506
119,0.1,0.9,0.1,0,0.464,0.52,0.478,0.498
120,0.1,0.9,0.5,-10,0.51,0.326,0.514,0.694
121,0.1,0.9,0.5,-5,0.518,0.4,0.534,0.62
122,0.1,0.9,0.5,-1,0.512,0.44,0.47,0.558
123,0.1,0.9,0.5,-0.5,0.496,0.464,0.51,0.55
124,0.1,0.9,0.5,-0.1,0.514,0.506,0.444,0.52
125,0.1,0.9,0.5,0,0.498,0.466,0.488,0.52
126,0.1,0.9,1,-10,0.516,0.312,0.476,0.704
127,0.1,0.9,1,-5,0.582,0.404,0.486,0.586
128,0.1,0.9,1,-1,0.492,0.46,0.45,0.494
129,0.1,0.9,1,-0.5,0.49,0.49,0.492,0.482
130,0.1,0.9,1,-0.1,0.504,0.522,0.494,0.514
131,0.1,0.9,1,0,0.512,0.492,0.424,0.516
132,0.1,0.9,5,-10,0.562,0.288,0.418,0.67
133,0.1,0.9,5,-5,0.596,0.404,0.416,0.58
134,0.1,0.9,5,-1,0.592,0.47,0.412,0.518
135,0.1,0.9,5,-0.5,0.554,0.486,0.378,0.482
136,0.1,0.9,5,-0.1,0.58,0.51,0.4,0.516
137,0.1,0.9,5,0,0.562,0.51,0.41,0.472
138,0.1,0.9,10,-10,0.708,0.354,0.324,0.69
139,0.1,0.9,10,-5,0.696,0.372,0.33,0.58
140,0.1,0.9,10,-1,0.704,0.47,0.31,0.554
141,0.1,0.9,10,-0.5,0.664,0.476,0.314,0.514
142,0.1,0.9,10,-0.1,0.658,0.49,0.344,0.464
143,0.1,0.9,10,0,0.69,0.5,0.362,0.506
144,0.1,1.3,0,-10,0.492,0.35,0.502,0.646
145,0.1,1.3,0,-5,0.452,0.422,0.502,0.552
146,0.1,1.3,0,-1,0.504,0.452,0.482,0.498
147,0.1,1.3,0,-0.5,0.494,0.488,0.506,0.532
148,0.1,1.3,0,-0.1,0.458,0.544,0.504,0.51
149,0.1,1.3,0,0,0.512,0.488,0.482,0.48
150,0.1,1.3,0.1,-10,0.522,0.404,0.512,0.646
151,0.1,1.3,0.1,-5,0.508,0.436,0.494,0.584
152,0.1,1.3,0.1,-1,0.482,0.52,0.5,0.508
153,0.1,1.3,0.1,-0.5,0.48,0.5,0.51,0.49
154,0.1,1.3,0.1,-0.1,0.496,0.464,0.466,0.476
155,0.1,1.3,0.1,0,0.534,0.504,0.51,0.516
156,0.1,1.3,0.5,-10,0.526,0.376,0.514,0.592
157,0.1,1.3,0.5,-5,0.542,0.418,0.522,0.544
158,0.1,1.3,0.5,-1,0.488,0.484,0.504,0.536
159,0.1,1.3,0.5,-0.5,0.532,0.496,0.482,0.486
160,0.1,1.3,0.5,-0.1,0.47,0.508,0.518,0.516
161,0.1,1.3,0.5,0,0.554,0.498,0.492,0.504
162,0.1,1.3,1,-10,0.524,0.404,0.472,0.584
163,0.1,1.3,1,-5,0.52,0.422,0.508,0.516
164,0.1,1.3,1,-1,0.526,0.524,0.482,0.51
165,0.1,1.3,1,-0.5,0.522,0.484,0.5,0.476
166,0.1,1.3,1,-0.1,0.514,0.504,0.512,0.518
167,0.1,1.3,1,0,0.56,0.506,0.486,0.52
168,0.1,1.3,5,-10,0.544,0.334,0.41,0.622
169,0.1,1.3,5,-5,0.576,0.398,0.492,0.572
170,0.1,1.3,5,-1,0.568,0.518,0.452,0.522
171,0.1,1.3,5,-0.5,0.562,0.464,0.42,0.518
172,0.1,1.3,5,-0.1,0.598,0.514,0.468,0.494
